date,game,value,distance,made,score
"Oct 31, 2000", PHI at NYK,2,20,Missed,1-2
"Oct 31, 2000", PHI at NYK,2,21,Made,9-7
"Oct 31, 2000", PHI at NYK,2,17,Missed,9-9
"Oct 31, 2000", PHI at NYK,2,14,Missed,13-11
"Oct 31, 2000", PHI at NYK,3,24,Missed,20-17
"Oct 31, 2000", PHI at NYK,2,0,Made,22-17
"Oct 31, 2000", PHI at NYK,2,13,Missed,24-21
"Oct 31, 2000", PHI at NYK,2,0,Missed,24-21
"Oct 31, 2000", PHI at NYK,2,0,Missed,26-23
"Oct 31, 2000", PHI at NYK,3,26,Missed,48-39
"Oct 31, 2000", PHI at NYK,2,0,Made,51-39
"Oct 31, 2000", PHI at NYK,2,0,Missed,59-45
"Oct 31, 2000", PHI at NYK,3,24,Made,62-45
"Oct 31, 2000", PHI at NYK,2,16,Missed,73-49
"Oct 31, 2000", PHI at NYK,2,0,Missed,77-52
"Oct 31, 2000", PHI at NYK,3,26,Made,80-54
"Nov 1, 2000", PHI vs TOR,2,5,Made,3-6
"Nov 1, 2000", PHI vs TOR,2,5,Missed,3-13
"Nov 1, 2000", PHI vs TOR,2,0,Made,9-13
"Nov 1, 2000", PHI vs TOR,3,26,Missed,9-15
"Nov 1, 2000", PHI vs TOR,2,0,Made,15-19
"Nov 1, 2000", PHI vs TOR,2,0,Made,17-21
"Nov 1, 2000", PHI vs TOR,2,14,Missed,17-22
"Nov 1, 2000", PHI vs TOR,2,8,Missed,19-24
"Nov 1, 2000", PHI vs TOR,2,4,Made,21-24
"Nov 1, 2000", PHI vs TOR,3,26,Missed,21-26
"Nov 1, 2000", PHI vs TOR,3,29,Missed,56-51
"Nov 1, 2000", PHI vs TOR,2,16,Missed,61-57
"Nov 1, 2000", PHI vs TOR,2,0,Made,67-59
"Nov 1, 2000", PHI vs TOR,2,7,Missed,70-63
"Nov 1, 2000", PHI vs TOR,2,16,Missed,70-65
"Nov 1, 2000", PHI vs TOR,2,5,Missed,71-65
"Nov 1, 2000", PHI vs TOR,3,28,Missed,73-69
"Nov 1, 2000", PHI vs TOR,2,5,Made,81-81
"Nov 1, 2000", PHI vs TOR,2,0,Made,86-81
"Nov 1, 2000", PHI vs TOR,2,6,Missed,86-81
"Nov 1, 2000", PHI vs TOR,2,17,Missed,88-83
"Nov 1, 2000", PHI vs TOR,2,4,Missed,88-85
"Nov 1, 2000", PHI vs TOR,2,18,Made,97-90
"Nov 3, 2000", PHI at ORL,2,15,Made,4-2
"Nov 3, 2000", PHI at ORL,3,26,Missed,4-4
"Nov 3, 2000", PHI at ORL,2,18,Made,8-6
"Nov 3, 2000", PHI at ORL,2,17,Missed,10-10
"Nov 3, 2000", PHI at ORL,2,23,Made,16-10
"Nov 3, 2000", PHI at ORL,3,25,Missed,18-12
"Nov 3, 2000", PHI at ORL,2,3,Missed,24-16
"Nov 3, 2000", PHI at ORL,2,0,Missed,24-16
"Nov 3, 2000", PHI at ORL,2,14,Made,30-24
"Nov 3, 2000", PHI at ORL,2,20,Made,32-24
"Nov 3, 2000", PHI at ORL,2,19,Made,45-36
"Nov 3, 2000", PHI at ORL,2,19,Missed,47-42
"Nov 3, 2000", PHI at ORL,3,26,Missed,49-47
"Nov 3, 2000", PHI at ORL,2,0,Made,51-47
"Nov 3, 2000", PHI at ORL,2,15,Missed,54-47
"Nov 3, 2000", PHI at ORL,2,23,Missed,54-54
"Nov 3, 2000", PHI at ORL,2,0,Made,59-58
"Nov 3, 2000", PHI at ORL,2,19,Missed,59-58
"Nov 3, 2000", PHI at ORL,2,9,Made,67-66
"Nov 3, 2000", PHI at ORL,2,17,Missed,67-66
"Nov 3, 2000", PHI at ORL,3,23,Missed,67-70
"Nov 3, 2000", PHI at ORL,2,0,Missed,67-70
"Nov 3, 2000", PHI at ORL,2,15,Missed,68-72
"Nov 3, 2000", PHI at ORL,2,18,Missed,68-73
"Nov 3, 2000", PHI at ORL,2,19,Missed,73-75
"Nov 3, 2000", PHI at ORL,2,0,Made,75-75
"Nov 3, 2000", PHI at ORL,2,10,Missed,81-77
"Nov 4, 2000", PHI at MIA,2,18,Missed,2-2
"Nov 4, 2000", PHI at MIA,2,0,Made,4-2
"Nov 4, 2000", PHI at MIA,3,24,Made,12-12
"Nov 4, 2000", PHI at MIA,3,25,Missed,12-12
"Nov 4, 2000", PHI at MIA,2,10,Missed,12-15
"Nov 4, 2000", PHI at MIA,2,0,Missed,14-20
"Nov 4, 2000", PHI at MIA,2,3,Made,21-24
"Nov 4, 2000", PHI at MIA,2,3,Missed,21-24
"Nov 4, 2000", PHI at MIA,2,17,Missed,24-32
"Nov 4, 2000", PHI at MIA,2,15,Missed,36-40
"Nov 4, 2000", PHI at MIA,3,24,Missed,41-49
"Nov 4, 2000", PHI at MIA,2,0,Made,46-56
"Nov 4, 2000", PHI at MIA,2,0,Made,52-56
"Nov 4, 2000", PHI at MIA,3,24,Missed,54-58
"Nov 4, 2000", PHI at MIA,2,0,Made,60-61
"Nov 4, 2000", PHI at MIA,2,10,Made,62-61
"Nov 4, 2000", PHI at MIA,2,9,Missed,63-61
"Nov 4, 2000", PHI at MIA,2,18,Made,80-76
"Nov 4, 2000", PHI at MIA,3,24,Missed,82-76
"Nov 8, 2000", PHI vs DET,2,13,Missed,0-2
"Nov 8, 2000", PHI vs DET,2,0,Made,2-4
"Nov 8, 2000", PHI vs DET,3,26,Made,7-6
"Nov 8, 2000", PHI vs DET,2,11,Missed,9-6
"Nov 8, 2000", PHI vs DET,2,15,Missed,13-8
"Nov 8, 2000", PHI vs DET,2,11,Made,16-9
"Nov 8, 2000", PHI vs DET,2,8,Made,32-15
"Nov 8, 2000", PHI vs DET,2,10,Made,38-17
"Nov 8, 2000", PHI vs DET,2,16,Missed,49-25
"Nov 8, 2000", PHI vs DET,2,13,Missed,55-31
"Nov 8, 2000", PHI vs DET,2,15,Missed,55-31
"Nov 8, 2000", PHI vs DET,2,0,Made,57-37
"Nov 8, 2000", PHI vs DET,3,25,Missed,60-48
"Nov 8, 2000", PHI vs DET,2,3,Missed,60-51
"Nov 8, 2000", PHI vs DET,2,17,Missed,62-51
"Nov 8, 2000", PHI vs DET,2,0,Made,68-55
"Nov 8, 2000", PHI vs DET,3,25,Made,73-60
"Nov 8, 2000", PHI vs DET,2,4,Missed,79-70
"Nov 8, 2000", PHI vs DET,3,25,Made,83-78
"Nov 8, 2000", PHI vs DET,3,28,Missed,85-80
"Nov 8, 2000", PHI vs DET,2,21,Made,93-85
"Nov 9, 2000", PHI at MIN,2,20,Missed,8-6
"Nov 9, 2000", PHI at MIN,2,0,Missed,15-13
"Nov 9, 2000", PHI at MIN,2,22,Missed,15-15
"Nov 9, 2000", PHI at MIN,2,0,Missed,21-23
"Nov 9, 2000", PHI at MIN,2,0,Made,25-32
"Nov 9, 2000", PHI at MIN,2,0,Missed,28-36
"Nov 9, 2000", PHI at MIN,2,20,Missed,30-36
"Nov 9, 2000", PHI at MIN,2,0,Made,36-42
"Nov 9, 2000", PHI at MIN,2,16,Made,41-46
"Nov 9, 2000", PHI at MIN,2,9,Made,60-59
"Nov 9, 2000", PHI at MIN,2,5,Missed,60-61
"Nov 9, 2000", PHI at MIN,2,14,Made,66-66
"Nov 9, 2000", PHI at MIN,2,21,Missed,68-68
"Nov 9, 2000", PHI at MIN,2,6,Missed,68-71
"Nov 9, 2000", PHI at MIN,2,17,Missed,68-71
"Nov 9, 2000", PHI at MIN,2,22,Made,70-71
"Nov 9, 2000", PHI at MIN,2,0,Missed,75-77
"Nov 11, 2000", PHI vs BOS,3,26,Missed,0-4
"Nov 11, 2000", PHI vs BOS,2,2,Missed,0-4
"Nov 11, 2000", PHI vs BOS,2,17,Missed,4-9
"Nov 11, 2000", PHI vs BOS,2,7,Missed,6-13
"Nov 11, 2000", PHI vs BOS,2,18,Made,8-15
"Nov 11, 2000", PHI vs BOS,2,14,Missed,8-17
"Nov 11, 2000", PHI vs BOS,2,11,Missed,12-21
"Nov 11, 2000", PHI vs BOS,2,5,Made,29-35
"Nov 11, 2000", PHI vs BOS,2,8,Missed,29-37
"Nov 11, 2000", PHI vs BOS,2,0,Made,35-39
"Nov 11, 2000", PHI vs BOS,2,7,Missed,35-40
"Nov 11, 2000", PHI vs BOS,3,26,Missed,36-44
"Nov 11, 2000", PHI vs BOS,3,30,Missed,40-49
"Nov 11, 2000", PHI vs BOS,2,14,Missed,44-51
"Nov 11, 2000", PHI vs BOS,2,0,Made,55-56
"Nov 11, 2000", PHI vs BOS,2,15,Missed,55-56
"Nov 11, 2000", PHI vs BOS,2,14,Missed,56-56
"Nov 11, 2000", PHI vs BOS,3,26,Missed,60-59
"Nov 11, 2000", PHI vs BOS,2,0,Made,64-64
"Nov 11, 2000", PHI vs BOS,2,0,Made,68-64
"Nov 11, 2000", PHI vs BOS,2,17,Missed,74-67
"Nov 15, 2000", PHI vs CLE,2,0,Made,3-0
"Nov 15, 2000", PHI vs CLE,2,8,Missed,3-4
"Nov 15, 2000", PHI vs CLE,2,14,Missed,10-16
"Nov 15, 2000", PHI vs CLE,2,6,Missed,12-20
"Nov 15, 2000", PHI vs CLE,2,17,Missed,12-22
"Nov 15, 2000", PHI vs CLE,2,0,Made,17-23
"Nov 15, 2000", PHI vs CLE,3,25,Missed,42-47
"Nov 15, 2000", PHI vs CLE,2,10,Missed,42-51
"Nov 15, 2000", PHI vs CLE,2,0,Made,52-53
"Nov 15, 2000", PHI vs CLE,2,13,Missed,52-55
"Nov 15, 2000", PHI vs CLE,2,16,Made,54-57
"Nov 15, 2000", PHI vs CLE,2,0,Made,59-57
"Nov 15, 2000", PHI vs CLE,3,28,Missed,59-57
"Nov 15, 2000", PHI vs CLE,2,0,Made,65-57
"Nov 15, 2000", PHI vs CLE,2,18,Missed,70-57
"Nov 15, 2000", PHI vs CLE,2,0,Made,72-61
"Nov 15, 2000", PHI vs CLE,2,16,Missed,73-63
"Nov 15, 2000", PHI vs CLE,2,12,Missed,79-71
"Nov 15, 2000", PHI vs CLE,2,19,Made,87-74
"Nov 15, 2000", PHI vs CLE,2,20,Missed,90-78
"Nov 15, 2000", PHI vs CLE,3,24,Missed,99-84
"Nov 15, 2000", PHI vs CLE,2,8,Made,103-91
"Nov 17, 2000", PHI vs MIA,2,6,Missed,6-7
"Nov 17, 2000", PHI vs MIA,2,4,Missed,6-9
"Nov 17, 2000", PHI vs MIA,2,5,Made,10-12
"Nov 17, 2000", PHI vs MIA,2,20,Made,14-14
"Nov 17, 2000", PHI vs MIA,2,9,Missed,14-16
"Nov 17, 2000", PHI vs MIA,2,5,Missed,21-27
"Nov 17, 2000", PHI vs MIA,2,6,Made,41-41
"Nov 17, 2000", PHI vs MIA,2,13,Missed,41-41
"Nov 17, 2000", PHI vs MIA,2,0,Made,43-47
"Nov 17, 2000", PHI vs MIA,2,17,Made,47-49
"Nov 17, 2000", PHI vs MIA,2,2,Missed,48-52
"Nov 17, 2000", PHI vs MIA,2,19,Missed,52-52
"Nov 17, 2000", PHI vs MIA,2,19,Made,60-52
"Nov 17, 2000", PHI vs MIA,2,8,Missed,62-52
"Nov 17, 2000", PHI vs MIA,3,27,Missed,68-55
"Nov 17, 2000", PHI vs MIA,2,0,Made,70-57
"Nov 17, 2000", PHI vs MIA,2,21,Missed,72-61
"Nov 17, 2000", PHI vs MIA,2,7,Made,88-71
"Nov 20, 2000", PHI at BOS,2,19,Made,4-2
"Nov 20, 2000", PHI at BOS,3,25,Missed,6-6
"Nov 20, 2000", PHI at BOS,3,25,Made,12-8
"Nov 20, 2000", PHI at BOS,3,26,Made,17-10
"Nov 20, 2000", PHI at BOS,2,22,Made,19-12
"Nov 20, 2000", PHI at BOS,3,25,Missed,19-12
"Nov 20, 2000", PHI at BOS,2,3,Missed,21-14
"Nov 20, 2000", PHI at BOS,2,20,Missed,21-16
"Nov 20, 2000", PHI at BOS,2,4,Made,27-21
"Nov 20, 2000", PHI at BOS,2,19,Missed,39-31
"Nov 20, 2000", PHI at BOS,2,3,Missed,39-32
"Nov 20, 2000", PHI at BOS,2,20,Missed,54-40
"Nov 20, 2000", PHI at BOS,2,3,Missed,72-49
"Nov 20, 2000", PHI at BOS,2,3,Made,74-54
"Nov 20, 2000", PHI at BOS,2,20,Missed,74-56
"Nov 20, 2000", PHI at BOS,2,20,Made,80-62
"Nov 20, 2000", PHI at BOS,3,25,Missed,80-64
"Nov 20, 2000", PHI at BOS,2,22,Made,86-68
"Nov 20, 2000", PHI at BOS,2,20,Missed,88-75
"Nov 20, 2000", PHI at BOS,2,3,Made,90-75
"Nov 20, 2000", PHI at BOS,2,11,Made,92-75
"Nov 20, 2000", PHI at BOS,2,5,Missed,92-75
"Nov 20, 2000", PHI at BOS,2,3,Made,107-85
"Nov 22, 2000", PHI at CHH,3,24,Missed,0-2
"Nov 22, 2000", PHI at CHH,2,14,Missed,2-7
