date,game,value,distance,made,score
"Oct 31, 2000", DAL vs MIL,2,0,Missed,14-9
"Oct 31, 2000", DAL vs MIL,3,25,Missed,18-9
"Oct 31, 2000", DAL vs MIL,3,23,Made,40-34
"Oct 31, 2000", DAL vs MIL,2,19,Made,42-37
"Oct 31, 2000", DAL vs MIL,3,25,Missed,58-48
"Oct 31, 2000", DAL vs MIL,3,23,Made,62-50
"Oct 31, 2000", DAL vs MIL,3,23,Missed,67-56
"Oct 31, 2000", DAL vs MIL,2,17,Missed,81-78
"Oct 31, 2000", DAL vs MIL,3,25,Missed,83-80
"Oct 31, 2000", DAL vs MIL,3,25,Made,91-82
"Oct 31, 2000", DAL vs MIL,2,13,Missed,91-84
"Oct 31, 2000", DAL vs MIL,3,23,Made,97-88
"Nov 2, 2000", DAL vs IND,2,0,Made,3-2
"Nov 2, 2000", DAL vs IND,2,15,Made,5-4
"Nov 2, 2000", DAL vs IND,2,13,Missed,7-5
"Nov 2, 2000", DAL vs IND,2,19,Missed,8-5
"Nov 2, 2000", DAL vs IND,2,4,Missed,8-5
"Nov 2, 2000", DAL vs IND,2,0,Made,12-9
"Nov 2, 2000", DAL vs IND,3,25,Missed,23-13
"Nov 2, 2000", DAL vs IND,3,23,Missed,44-41
"Nov 2, 2000", DAL vs IND,2,0,Made,53-43
"Nov 2, 2000", DAL vs IND,2,0,Missed,59-53
"Nov 2, 2000", DAL vs IND,3,25,Missed,66-58
"Nov 2, 2000", DAL vs IND,3,25,Missed,77-72
"Nov 2, 2000", DAL vs IND,3,23,Made,83-78
"Nov 4, 2000", DAL vs UTA,2,18,Made,2-6
"Nov 4, 2000", DAL vs UTA,3,25,Missed,4-12
"Nov 4, 2000", DAL vs UTA,3,24,Made,18-20
"Nov 4, 2000", DAL vs UTA,3,24,Missed,18-22
"Nov 4, 2000", DAL vs UTA,2,17,Made,20-24
"Nov 4, 2000", DAL vs UTA,3,23,Missed,34-35
"Nov 4, 2000", DAL vs UTA,2,16,Missed,37-43
"Nov 4, 2000", DAL vs UTA,2,5,Missed,46-49
"Nov 4, 2000", DAL vs UTA,2,17,Made,48-55
"Nov 4, 2000", DAL vs UTA,2,0,Made,50-55
"Nov 4, 2000", DAL vs UTA,3,23,Made,53-57
"Nov 4, 2000", DAL vs UTA,3,25,Missed,57-67
"Nov 4, 2000", DAL vs UTA,3,25,Made,67-74
"Nov 4, 2000", DAL vs UTA,3,24,Made,70-76
"Nov 6, 2000", DAL at DEN,3,26,Made,4-0
"Nov 6, 2000", DAL at DEN,2,19,Made,6-2
"Nov 6, 2000", DAL at DEN,3,26,Missed,8-8
"Nov 6, 2000", DAL at DEN,2,0,Made,12-10
"Nov 6, 2000", DAL at DEN,2,19,Missed,17-15
"Nov 6, 2000", DAL at DEN,2,15,Missed,23-19
"Nov 6, 2000", DAL at DEN,3,24,Made,57-46
"Nov 6, 2000", DAL at DEN,3,26,Missed,59-48
"Nov 6, 2000", DAL at DEN,2,0,Missed,68-63
"Nov 6, 2000", DAL at DEN,2,16,Missed,72-64
"Nov 6, 2000", DAL at DEN,2,0,Made,74-66
"Nov 6, 2000", DAL at DEN,3,26,Missed,96-83
"Nov 6, 2000", DAL at DEN,2,0,Made,98-83
"Nov 8, 2000", DAL vs VAN,3,25,Missed,2-3
"Nov 8, 2000", DAL vs VAN,2,0,Missed,4-6
"Nov 8, 2000", DAL vs VAN,2,21,Missed,15-14
"Nov 8, 2000", DAL vs VAN,2,0,Made,17-16
"Nov 8, 2000", DAL vs VAN,3,25,Made,22-25
"Nov 8, 2000", DAL vs VAN,2,6,Missed,31-43
"Nov 8, 2000", DAL vs VAN,2,16,Missed,33-47
"Nov 8, 2000", DAL vs VAN,2,17,Missed,33-49
"Nov 8, 2000", DAL vs VAN,2,18,Missed,39-56
"Nov 8, 2000", DAL vs VAN,3,25,Missed,45-61
"Nov 8, 2000", DAL vs VAN,2,0,Missed,45-66
"Nov 8, 2000", DAL vs VAN,2,18,Missed,47-68
"Nov 10, 2000", DAL vs SAS,2,15,Made,2-5
"Nov 10, 2000", DAL vs SAS,3,25,Missed,4-13
"Nov 10, 2000", DAL vs SAS,2,18,Missed,4-13
"Nov 10, 2000", DAL vs SAS,2,0,Made,8-17
"Nov 10, 2000", DAL vs SAS,3,24,Missed,9-17
"Nov 10, 2000", DAL vs SAS,2,13,Missed,9-17
"Nov 10, 2000", DAL vs SAS,2,15,Made,11-17
"Nov 10, 2000", DAL vs SAS,2,0,Made,15-17
"Nov 10, 2000", DAL vs SAS,2,17,Missed,36-33
"Nov 10, 2000", DAL vs SAS,2,0,Missed,38-33
"Nov 10, 2000", DAL vs SAS,3,25,Missed,40-35
"Nov 10, 2000", DAL vs SAS,2,16,Made,42-39
"Nov 10, 2000", DAL vs SAS,2,0,Missed,42-39
"Nov 10, 2000", DAL vs SAS,2,20,Missed,42-41
"Nov 10, 2000", DAL vs SAS,2,0,Made,44-41
