date,game,value,distance,made,score
"Oct 28, 2003", MIA at PHI,2,0,Missed,0-0
"Oct 28, 2003", MIA at PHI,2,9,Made,2-5
"Oct 28, 2003", MIA at PHI,2,4,Made,4-7
"Oct 28, 2003", MIA at PHI,2,8,Made,12-14
"Oct 28, 2003", MIA at PHI,2,20,Missed,12-14
"Oct 28, 2003", MIA at PHI,2,0,Made,14-15
"Oct 28, 2003", MIA at PHI,2,12,Missed,20-24
"Oct 28, 2003", MIA at PHI,2,0,Missed,33-44
"Oct 28, 2003", MIA at PHI,2,0,Made,36-44
"Oct 28, 2003", MIA at PHI,2,19,Made,39-44
"Oct 28, 2003", MIA at PHI,2,0,Made,41-44
"Oct 28, 2003", MIA at PHI,2,22,Missed,43-47
"Oct 28, 2003", MIA at PHI,2,0,Missed,46-50
"Oct 28, 2003", MIA at PHI,3,28,Missed,46-54
"Oct 28, 2003", MIA at PHI,2,6,Made,62-65
"Oct 28, 2003", MIA at PHI,2,0,Missed,70-82
"Oct 28, 2003", MIA at PHI,2,18,Missed,70-84
"Oct 28, 2003", MIA at PHI,2,6,Missed,74-86
"Oct 29, 2003", MIA at BOS,2,1,Missed,5-5
"Oct 29, 2003", MIA at BOS,2,3,Missed,17-23
"Oct 29, 2003", MIA at BOS,2,18,Missed,22-30
"Oct 29, 2003", MIA at BOS,2,16,Missed,22-33
"Oct 29, 2003", MIA at BOS,2,2,Made,32-41
"Oct 29, 2003", MIA at BOS,2,4,Missed,34-45
"Oct 29, 2003", MIA at BOS,3,23,Made,44-54
"Oct 29, 2003", MIA at BOS,2,0,Missed,44-57
"Oct 29, 2003", MIA at BOS,3,24,Missed,58-69
"Oct 29, 2003", MIA at BOS,2,7,Missed,61-79
"Oct 29, 2003", MIA at BOS,2,3,Missed,61-79
"Oct 29, 2003", MIA at BOS,2,15,Missed,64-85
"Oct 31, 2003", MIA vs DET,2,0,Missed,4-6
"Oct 31, 2003", MIA vs DET,2,0,Missed,4-6
"Oct 31, 2003", MIA vs DET,2,12,Missed,20-30
"Oct 31, 2003", MIA vs DET,2,0,Missed,20-30
"Oct 31, 2003", MIA vs DET,2,0,Missed,22-32
"Oct 31, 2003", MIA vs DET,2,12,Missed,34-45
"Oct 31, 2003", MIA vs DET,2,0,Made,36-45
"Oct 31, 2003", MIA vs DET,2,14,Missed,40-51
"Oct 31, 2003", MIA vs DET,2,0,Missed,40-55
"Nov 8, 2003", MIA vs MIN,2,16,Missed,0-0
"Nov 8, 2003", MIA vs MIN,2,0,Missed,0-0
"Nov 8, 2003", MIA vs MIN,3,25,Made,5-0
"Nov 8, 2003", MIA vs MIN,2,16,Missed,10-2
"Nov 8, 2003", MIA vs MIN,2,13,Missed,10-4
"Nov 8, 2003", MIA vs MIN,2,0,Made,14-4
"Nov 8, 2003", MIA vs MIN,2,14,Missed,22-17
"Nov 8, 2003", MIA vs MIN,2,0,Made,29-28
"Nov 8, 2003", MIA vs MIN,2,11,Missed,29-28
"Nov 8, 2003", MIA vs MIN,2,0,Made,34-34
"Nov 8, 2003", MIA vs MIN,2,8,Made,41-40
"Nov 8, 2003", MIA vs MIN,3,24,Missed,41-40
"Nov 8, 2003", MIA vs MIN,2,18,Missed,45-47
"Nov 8, 2003", MIA vs MIN,2,0,Missed,45-55
"Nov 8, 2003", MIA vs MIN,2,0,Missed,48-58
"Nov 8, 2003", MIA vs MIN,2,22,Missed,59-78
"Nov 8, 2003", MIA vs MIN,2,0,Missed,63-78
"Nov 8, 2003", MIA vs MIN,2,17,Made,69-80
"Nov 8, 2003", MIA vs MIN,2,3,Made,72-80
"Nov 8, 2003", MIA vs MIN,2,21,Made,74-80
"Nov 8, 2003", MIA vs MIN,2,0,Missed,76-87
"Nov 11, 2003", MIA at HOU,2,9,Made,6-0
"Nov 11, 2003", MIA at HOU,2,12,Made,13-9
"Nov 11, 2003", MIA at HOU,2,5,Made,28-32
"Nov 11, 2003", MIA at HOU,2,0,Missed,34-37
"Nov 11, 2003", MIA at HOU,2,0,Made,36-41
"Nov 11, 2003", MIA at HOU,2,21,Missed,38-46
"Nov 11, 2003", MIA at HOU,2,17,Missed,47-59
"Nov 11, 2003", MIA at HOU,3,26,Missed,59-74
"Nov 11, 2003", MIA at HOU,2,14,Missed,67-86
"Nov 12, 2003", MIA vs CLE,2,4,Missed,2-5
"Nov 12, 2003", MIA vs CLE,2,0,Made,4-5
"Nov 12, 2003", MIA vs CLE,2,5,Missed,4-7
"Nov 12, 2003", MIA vs CLE,2,0,Made,6-10
"Nov 12, 2003", MIA vs CLE,2,0,Missed,7-12
"Nov 12, 2003", MIA vs CLE,2,0,Missed,17-19
