date,game,value,distance,made,score
"Oct 31, 2007", SEA at DEN,3,27,Missed,6-3
"Oct 31, 2007", SEA at DEN,2,9,Missed,8-10
"Oct 31, 2007", SEA at DEN,2,16,Missed,8-12
"Oct 31, 2007", SEA at DEN,2,0,Made,19-25
"Oct 31, 2007", SEA at DEN,2,0,Missed,24-29
"Oct 31, 2007", SEA at DEN,2,14,Missed,31-35
"Oct 31, 2007", SEA at DEN,3,25,Made,40-38
"Oct 31, 2007", SEA at DEN,2,0,Made,46-41
"Oct 31, 2007", SEA at DEN,2,0,Missed,46-41
"Oct 31, 2007", SEA at DEN,3,24,Missed,46-41
"Oct 31, 2007", SEA at DEN,3,26,Missed,48-44
"Oct 31, 2007", SEA at DEN,2,8,Missed,48-44
"Oct 31, 2007", SEA at DEN,2,8,Missed,51-46
"Oct 31, 2007", SEA at DEN,3,26,Missed,51-48
"Oct 31, 2007", SEA at DEN,3,25,Missed,58-61
"Oct 31, 2007", SEA at DEN,2,21,Made,60-63
"Oct 31, 2007", SEA at DEN,2,0,Made,70-74
"Oct 31, 2007", SEA at DEN,2,7,Missed,81-88
"Oct 31, 2007", SEA at DEN,2,16,Made,85-93
"Oct 31, 2007", SEA at DEN,3,23,Made,89-95
"Oct 31, 2007", SEA at DEN,2,11,Missed,89-101
"Oct 31, 2007", SEA at DEN,2,0,Missed,90-104
"Nov 1, 2007", SEA vs PHO,2,2,Made,4-2
"Nov 1, 2007", SEA vs PHO,3,25,Missed,6-6
"Nov 1, 2007", SEA vs PHO,2,0,Made,13-11
"Nov 1, 2007", SEA vs PHO,2,21,Made,19-15
"Nov 1, 2007", SEA vs PHO,3,26,Missed,19-17
"Nov 1, 2007", SEA vs PHO,2,15,Missed,21-19
"Nov 1, 2007", SEA vs PHO,2,0,Missed,21-21
"Nov 1, 2007", SEA vs PHO,2,10,Missed,28-32
"Nov 1, 2007", SEA vs PHO,3,23,Made,35-32
"Nov 1, 2007", SEA vs PHO,3,26,Missed,39-37
"Nov 1, 2007", SEA vs PHO,2,5,Made,45-41
"Nov 1, 2007", SEA vs PHO,2,18,Made,47-43
"Nov 1, 2007", SEA vs PHO,2,7,Missed,49-45
"Nov 1, 2007", SEA vs PHO,2,20,Made,51-47
"Nov 1, 2007", SEA vs PHO,2,0,Missed,58-55
"Nov 1, 2007", SEA vs PHO,2,18,Missed,61-61
"Nov 1, 2007", SEA vs PHO,2,14,Made,66-61
"Nov 1, 2007", SEA vs PHO,2,0,Made,68-63
"Nov 1, 2007", SEA vs PHO,2,20,Missed,68-63
"Nov 1, 2007", SEA vs PHO,3,25,Missed,86-91
"Nov 1, 2007", SEA vs PHO,2,10,Missed,86-91
"Nov 1, 2007", SEA vs PHO,2,14,Made,90-93
"Nov 1, 2007", SEA vs PHO,3,25,Made,93-96
"Nov 4, 2007", SEA at LAC,2,20,Made,4-2
"Nov 4, 2007", SEA at LAC,2,16,Missed,6-3
"Nov 4, 2007", SEA at LAC,2,7,Missed,9-7
"Nov 4, 2007", SEA at LAC,3,26,Made,12-7
"Nov 4, 2007", SEA at LAC,2,11,Made,16-12
"Nov 4, 2007", SEA at LAC,2,0,Missed,16-16
"Nov 4, 2007", SEA at LAC,3,22,Missed,28-31
"Nov 4, 2007", SEA at LAC,3,27,Missed,36-39
"Nov 4, 2007", SEA at LAC,2,21,Made,45-49
"Nov 4, 2007", SEA at LAC,2,0,Made,54-52
"Nov 4, 2007", SEA at LAC,3,25,Made,59-54
"Nov 4, 2007", SEA at LAC,2,19,Missed,59-59
"Nov 4, 2007", SEA at LAC,2,19,Missed,59-61
"Nov 4, 2007", SEA at LAC,2,6,Missed,59-61
"Nov 4, 2007", SEA at LAC,2,0,Made,65-67
"Nov 4, 2007", SEA at LAC,2,20,Made,67-71
"Nov 4, 2007", SEA at LAC,2,16,Made,69-73
"Nov 4, 2007", SEA at LAC,3,24,Missed,82-94
"Nov 4, 2007", SEA at LAC,3,25,Made,90-103
