date,game,value,distance,made,score
"Oct 31, 2000", LAL at POR,2,18,Missed,2-4
"Oct 31, 2000", LAL at POR,2,16,Missed,2-4
"Oct 31, 2000", LAL at POR,2,17,Made,9-9
"Oct 31, 2000", LAL at POR,2,22,Missed,10-11
"Oct 31, 2000", LAL at POR,2,0,Made,36-38
"Oct 31, 2000", LAL at POR,2,15,Missed,55-48
"Oct 31, 2000", LAL at POR,2,0,Made,59-48
"Oct 31, 2000", LAL at POR,2,3,Missed,59-50
"Oct 31, 2000", LAL at POR,2,13,Made,63-54
"Oct 31, 2000", LAL at POR,2,13,Missed,63-56
"Oct 31, 2000", LAL at POR,3,26,Missed,65-60
"Nov 1, 2000", LAL vs UTA,2,18,Made,4-2
"Nov 1, 2000", LAL vs UTA,2,13,Made,10-12
"Nov 1, 2000", LAL vs UTA,2,9,Missed,12-19
"Nov 1, 2000", LAL vs UTA,2,5,Missed,14-21
"Nov 1, 2000", LAL vs UTA,2,20,Missed,14-23
"Nov 1, 2000", LAL vs UTA,2,0,Made,16-24
"Nov 1, 2000", LAL vs UTA,3,25,Made,21-29
"Nov 1, 2000", LAL vs UTA,2,16,Missed,31-44
"Nov 1, 2000", LAL vs UTA,2,0,Made,33-46
"Nov 1, 2000", LAL vs UTA,2,14,Missed,33-48
"Nov 1, 2000", LAL vs UTA,2,18,Missed,35-48
"Nov 1, 2000", LAL vs UTA,2,11,Made,39-48
"Nov 1, 2000", LAL vs UTA,2,19,Made,47-54
"Nov 1, 2000", LAL vs UTA,2,8,Made,50-55
"Nov 1, 2000", LAL vs UTA,2,0,Missed,52-62
"Nov 1, 2000", LAL vs UTA,2,20,Missed,54-64
"Nov 1, 2000", LAL vs UTA,3,26,Missed,56-65
"Nov 1, 2000", LAL vs UTA,2,19,Missed,65-73
"Nov 1, 2000", LAL vs UTA,2,9,Missed,67-76
"Nov 1, 2000", LAL vs UTA,2,12,Made,88-89
"Nov 1, 2000", LAL vs UTA,2,13,Missed,88-91
"Nov 4, 2000", LAL at VAN,2,18,Missed,0-0
"Nov 4, 2000", LAL at VAN,2,21,Missed,0-0
"Nov 4, 2000", LAL at VAN,2,2,Missed,7-8
"Nov 4, 2000", LAL at VAN,2,2,Made,11-12
"Nov 4, 2000", LAL at VAN,2,0,Made,14-14
"Nov 4, 2000", LAL at VAN,2,16,Missed,30-29
"Nov 4, 2000", LAL at VAN,2,21,Made,38-32
"Nov 4, 2000", LAL at VAN,3,27,Made,47-40
"Nov 4, 2000", LAL at VAN,2,19,Missed,49-42
"Nov 4, 2000", LAL at VAN,2,1,Made,53-42
"Nov 4, 2000", LAL at VAN,2,20,Made,55-45
"Nov 4, 2000", LAL at VAN,2,5,Missed,55-47
"Nov 4, 2000", LAL at VAN,2,2,Missed,65-51
"Nov 4, 2000", LAL at VAN,2,1,Made,71-51
"Nov 4, 2000", LAL at VAN,2,1,Missed,71-51
"Nov 4, 2000", LAL at VAN,2,1,Made,73-53
"Nov 4, 2000", LAL at VAN,2,17,Made,87-76
"Nov 4, 2000", LAL at VAN,2,18,Missed,90-81
"Nov 4, 2000", LAL at VAN,2,1,Missed,94-85
"Nov 4, 2000", LAL at VAN,2,2,Missed,94-85
"Nov 5, 2000", LAL vs LAC,2,7,Missed,4-2
"Nov 5, 2000", LAL vs LAC,2,19,Missed,4-2
"Nov 5, 2000", LAL vs LAC,3,28,Made,15-8
"Nov 5, 2000", LAL vs LAC,3,25,Missed,15-12
"Nov 5, 2000", LAL vs LAC,3,23,Made,26-16
"Nov 5, 2000", LAL vs LAC,2,0,Made,32-21
"Nov 5, 2000", LAL vs LAC,2,0,Made,39-32
"Nov 5, 2000", LAL vs LAC,3,28,Missed,39-34
"Nov 5, 2000", LAL vs LAC,2,11,Missed,39-36
"Nov 5, 2000", LAL vs LAC,2,5,Made,45-40
"Nov 5, 2000", LAL vs LAC,2,0,Missed,50-47
"Nov 5, 2000", LAL vs LAC,2,6,Missed,62-66
"Nov 5, 2000", LAL vs LAC,2,12,Made,65-68
"Nov 5, 2000", LAL vs LAC,2,9,Missed,68-73
"Nov 7, 2000", LAL at HOU,2,12,Made,4-4
"Nov 7, 2000", LAL at HOU,3,24,Missed,4-6
"Nov 7, 2000", LAL at HOU,2,0,Made,6-6
"Nov 7, 2000", LAL at HOU,2,0,Made,8-8
"Nov 7, 2000", LAL at HOU,2,19,Missed,11-12
"Nov 7, 2000", LAL at HOU,3,26,Made,14-18
"Nov 7, 2000", LAL at HOU,2,0,Made,27-30
"Nov 7, 2000", LAL at HOU,2,8,Missed,37-39
"Nov 7, 2000", LAL at HOU,3,25,Missed,37-43
"Nov 7, 2000", LAL at HOU,2,22,Made,41-45
"Nov 7, 2000", LAL at HOU,2,6,Missed,41-47
"Nov 7, 2000", LAL at HOU,2,14,Missed,45-50
