date,game,value,distance,made,score
"Oct 30, 2002", WAS at TOR,2,7,Missed,11-20
"Oct 30, 2002", WAS at TOR,2,15,Made,16-20
"Oct 30, 2002", WAS at TOR,2,15,Missed,16-22
"Oct 30, 2002", WAS at TOR,2,15,Missed,16-24
"Oct 30, 2002", WAS at TOR,2,18,Made,28-38
"Oct 30, 2002", WAS at TOR,2,11,Made,30-39
"Oct 30, 2002", WAS at TOR,2,15,Missed,32-43
"Oct 30, 2002", WAS at TOR,2,11,Made,34-43
"Oct 30, 2002", WAS at TOR,2,18,Missed,43-54
"Oct 30, 2002", WAS at TOR,2,13,Missed,43-54
"Oct 30, 2002", WAS at TOR,2,13,Missed,47-59
"Oct 30, 2002", WAS at TOR,2,14,Missed,47-63
"Oct 30, 2002", WAS at TOR,2,10,Missed,50-63
"Oct 30, 2002", WAS at TOR,2,0,Missed,58-70
"Oct 31, 2002", WAS vs BOS,2,18,Missed,10-14
"Oct 31, 2002", WAS vs BOS,2,15,Made,16-16
"Oct 31, 2002", WAS vs BOS,2,4,Missed,18-21
"Oct 31, 2002", WAS vs BOS,2,15,Missed,18-21
"Oct 31, 2002", WAS vs BOS,2,1,Made,29-21
"Oct 31, 2002", WAS vs BOS,2,20,Missed,30-24
"Oct 31, 2002", WAS vs BOS,2,18,Made,32-24
"Oct 31, 2002", WAS vs BOS,2,18,Missed,41-32
"Oct 31, 2002", WAS vs BOS,2,16,Made,47-36
"Oct 31, 2002", WAS vs BOS,2,21,Made,58-40
"Oct 31, 2002", WAS vs BOS,2,15,Made,81-56
"Oct 31, 2002", WAS vs BOS,2,18,Made,83-56
"Oct 31, 2002", WAS vs BOS,2,19,Made,85-58
"Oct 31, 2002", WAS vs BOS,2,19,Missed,85-62
"Oct 31, 2002", WAS vs BOS,2,16,Missed,87-64
"Nov 2, 2002", WAS vs NJN,2,18,Made,10-14
"Nov 2, 2002", WAS vs NJN,2,17,Missed,13-16
"Nov 2, 2002", WAS vs NJN,2,16,Missed,13-18
"Nov 2, 2002", WAS vs NJN,2,17,Made,15-18
"Nov 2, 2002", WAS vs NJN,3,25,Missed,15-18
"Nov 2, 2002", WAS vs NJN,2,22,Made,17-22
"Nov 2, 2002", WAS vs NJN,2,15,Missed,19-22
"Nov 2, 2002", WAS vs NJN,2,14,Missed,43-50
"Nov 2, 2002", WAS vs NJN,2,19,Missed,48-55
"Nov 2, 2002", WAS vs NJN,2,16,Missed,55-59
"Nov 2, 2002", WAS vs NJN,2,16,Made,57-59
"Nov 2, 2002", WAS vs NJN,2,19,Made,65-72
"Nov 2, 2002", WAS vs NJN,2,15,Missed,68-78
"Nov 2, 2002", WAS vs NJN,2,15,Missed,68-78
"Nov 2, 2002", WAS vs NJN,2,14,Made,72-81
"Nov 2, 2002", WAS vs NJN,3,26,Made,75-81
