date,game,value,distance,made,score
"Oct 29, 2008", OKC vs MIL,2,19,Missed,18-29
"Oct 29, 2008", OKC vs MIL,2,0,Missed,20-31
"Oct 29, 2008", OKC vs MIL,2,0,Missed,23-40
"Oct 29, 2008", OKC vs MIL,2,15,Made,66-84
"Oct 29, 2008", OKC vs MIL,2,0,Missed,66-86
"Oct 29, 2008", OKC vs MIL,2,0,Made,72-88
"Oct 29, 2008", OKC vs MIL,2,0,Made,76-90
"Oct 29, 2008", OKC vs MIL,3,27,Made,79-90
"Oct 29, 2008", OKC vs MIL,3,26,Missed,79-92
"Nov 1, 2008", OKC at HOU,2,0,Made,15-15
"Nov 1, 2008", OKC at HOU,2,12,Missed,15-20
"Nov 1, 2008", OKC at HOU,3,26,Missed,55-60
"Nov 1, 2008", OKC at HOU,2,18,Missed,55-62
"Nov 1, 2008", OKC at HOU,2,0,Made,57-65
"Nov 1, 2008", OKC at HOU,2,0,Missed,59-65
"Nov 1, 2008", OKC at HOU,2,0,Missed,61-75
"Nov 2, 2008", OKC vs MIN,2,5,Made,20-20
"Nov 2, 2008", OKC vs MIN,2,3,Missed,20-20
"Nov 2, 2008", OKC vs MIN,2,9,Missed,20-29
"Nov 2, 2008", OKC vs MIN,2,0,Made,28-33
"Nov 2, 2008", OKC vs MIN,2,0,Made,63-71
"Nov 2, 2008", OKC vs MIN,2,23,Missed,63-71
"Nov 2, 2008", OKC vs MIN,2,18,Missed,63-73
"Nov 2, 2008", OKC vs MIN,2,0,Made,65-73
"Nov 2, 2008", OKC vs MIN,2,11,Missed,72-73
"Nov 2, 2008", OKC vs MIN,2,0,Made,76-73
"Nov 2, 2008", OKC vs MIN,3,24,Missed,84-83
"Nov 2, 2008", OKC vs MIN,2,0,Missed,84-83
"Nov 2, 2008", OKC vs MIN,2,0,Made,86-85
"Nov 5, 2008", OKC vs BOS,2,16,Missed,20-17
"Nov 5, 2008", OKC vs BOS,2,14,Missed,55-70
"Nov 5, 2008", OKC vs BOS,2,14,Missed,55-70
"Nov 5, 2008", OKC vs BOS,3,28,Missed,55-70
"Nov 5, 2008", OKC vs BOS,2,0,Missed,55-70
"Nov 5, 2008", OKC vs BOS,2,0,Made,57-70
"Nov 5, 2008", OKC vs BOS,3,23,Missed,57-72
"Nov 5, 2008", OKC vs BOS,2,17,Missed,63-77
"Nov 5, 2008", OKC vs BOS,2,0,Missed,63-79
"Nov 5, 2008", OKC vs BOS,3,25,Made,77-89
"Nov 5, 2008", OKC vs BOS,2,0,Missed,77-89
"Nov 5, 2008", OKC vs BOS,3,25,Made,80-94
"Nov 5, 2008", OKC vs BOS,3,25,Made,83-96
"Nov 7, 2008", OKC at UTA,2,22,Missed,10-24
"Nov 7, 2008", OKC at UTA,2,0,Missed,10-24
"Nov 7, 2008", OKC at UTA,2,4,Missed,15-29
"Nov 7, 2008", OKC at UTA,2,20,Missed,21-36
"Nov 7, 2008", OKC at UTA,2,0,Missed,21-38
"Nov 7, 2008", OKC at UTA,2,12,Made,65-78
"Nov 7, 2008", OKC at UTA,2,5,Missed,74-83
"Nov 7, 2008", OKC at UTA,2,0,Missed,74-83
"Nov 9, 2008", OKC vs ATL,2,21,Made,9-17
"Nov 9, 2008", OKC vs ATL,2,0,Made,11-17
"Nov 9, 2008", OKC vs ATL,2,6,Missed,14-22
"Nov 9, 2008", OKC vs ATL,2,0,Missed,14-22
"Nov 9, 2008", OKC vs ATL,2,0,Made,18-22
"Nov 9, 2008", OKC vs ATL,2,16,Made,25-28
"Nov 9, 2008", OKC vs ATL,2,0,Made,27-30
"Nov 9, 2008", OKC vs ATL,3,26,Missed,35-35
"Nov 9, 2008", OKC vs ATL,2,0,Missed,35-35
"Nov 9, 2008", OKC vs ATL,2,14,Missed,35-35
"Nov 9, 2008", OKC vs ATL,2,0,Missed,37-38
"Nov 9, 2008", OKC vs ATL,3,25,Missed,41-38
"Nov 9, 2008", OKC vs ATL,2,9,Missed,56-53
"Nov 9, 2008", OKC vs ATL,2,0,Made,68-66
"Nov 10, 2008", OKC at IND,2,2,Missed,25-20
"Nov 10, 2008", OKC at IND,2,17,Missed,39-24
"Nov 10, 2008", OKC at IND,2,16,Missed,39-29
"Nov 10, 2008", OKC at IND,2,1,Missed,39-37
"Nov 10, 2008", OKC at IND,2,9,Missed,41-39
"Nov 10, 2008", OKC at IND,3,25,Made,46-39
"Nov 10, 2008", OKC at IND,3,27,Missed,80-81
"Nov 10, 2008", OKC at IND,2,14,Missed,80-81
"Nov 10, 2008", OKC at IND,3,26,Missed,87-87
"Nov 10, 2008", OKC at IND,2,1,Missed,87-87
"Nov 12, 2008", OKC vs ORL,2,5,Missed,17-30
"Nov 12, 2008", OKC vs ORL,3,24,Missed,19-37
"Nov 12, 2008", OKC vs ORL,2,0,Missed,19-37
"Nov 12, 2008", OKC vs ORL,2,14,Missed,21-42
"Nov 12, 2008", OKC vs ORL,2,0,Missed,25-48
"Nov 12, 2008", OKC vs ORL,2,0,Missed,25-48
"Nov 12, 2008", OKC vs ORL,2,0,Missed,25-50
"Nov 12, 2008", OKC vs ORL,2,0,Missed,34-54
"Nov 12, 2008", OKC vs ORL,2,0,Missed,36-61
"Nov 12, 2008", OKC vs ORL,2,6,Missed,42-65
"Nov 12, 2008", OKC vs ORL,2,15,Made,69-87
"Nov 12, 2008", OKC vs ORL,2,22,Missed,73-87
"Nov 12, 2008", OKC vs ORL,2,16,Missed,78-97
"Nov 12, 2008", OKC vs ORL,2,0,Made,80-99
"Nov 12, 2008", OKC vs ORL,2,0,Missed,85-107
"Nov 12, 2008", OKC vs ORL,2,0,Missed,87-107
"Nov 12, 2008", OKC vs ORL,2,22,Made,92-109
"Nov 12, 2008", OKC vs ORL,2,0,Missed,92-109
"Nov 14, 2008", OKC at NYK,3,24,Missed,20-30
"Nov 14, 2008", OKC at NYK,2,0,Made,24-44
"Nov 14, 2008", OKC at NYK,3,25,Made,32-48
"Nov 14, 2008", OKC at NYK,3,25,Missed,40-64
"Nov 14, 2008", OKC at NYK,2,0,Made,70-92
"Nov 14, 2008", OKC at NYK,2,0,Missed,70-92
"Nov 14, 2008", OKC at NYK,2,0,Missed,73-93
"Nov 14, 2008", OKC at NYK,2,0,Made,77-93
"Nov 14, 2008", OKC at NYK,3,25,Missed,79-93
"Nov 14, 2008", OKC at NYK,2,0,Made,87-100
