date,game,value,distance,made,score
"Oct 31, 2000", PHO at GSW,2,20,Missed,0-3
"Oct 31, 2000", PHO at GSW,2,16,Missed,2-6
"Oct 31, 2000", PHO at GSW,3,24,Made,7-6
"Oct 31, 2000", PHO at GSW,2,0,Missed,41-40
"Oct 31, 2000", PHO at GSW,2,20,Made,43-40
"Oct 31, 2000", PHO at GSW,2,0,Missed,45-43
"Oct 31, 2000", PHO at GSW,2,13,Missed,45-45
"Oct 31, 2000", PHO at GSW,2,0,Made,47-45
"Oct 31, 2000", PHO at GSW,2,14,Made,51-45
"Oct 31, 2000", PHO at GSW,2,17,Missed,56-53
"Oct 31, 2000", PHO at GSW,3,23,Missed,56-57
"Oct 31, 2000", PHO at GSW,3,25,Missed,79-75
"Oct 31, 2000", PHO at GSW,3,24,Made,82-77
"Oct 31, 2000", PHO at GSW,2,3,Missed,84-85
"Oct 31, 2000", PHO at GSW,2,0,Made,88-90
"Oct 31, 2000", PHO at GSW,3,24,Missed,92-91
"Nov 2, 2000", PHO vs POR,2,16,Missed,0-0
"Nov 2, 2000", PHO vs POR,2,16,Missed,2-1
"Nov 2, 2000", PHO vs POR,2,14,Made,6-4
"Nov 2, 2000", PHO vs POR,3,24,Made,11-9
"Nov 2, 2000", PHO vs POR,3,23,Missed,11-15
"Nov 2, 2000", PHO vs POR,2,0,Missed,13-19
"Nov 2, 2000", PHO vs POR,2,16,Made,17-19
"Nov 2, 2000", PHO vs POR,3,24,Missed,64-45
"Nov 2, 2000", PHO vs POR,2,0,Made,66-48
"Nov 2, 2000", PHO vs POR,3,23,Missed,66-48
"Nov 2, 2000", PHO vs POR,2,0,Missed,66-48
"Nov 2, 2000", PHO vs POR,2,5,Missed,67-48
"Nov 2, 2000", PHO vs POR,2,13,Missed,69-48
"Nov 2, 2000", PHO vs POR,2,0,Made,74-52
"Nov 2, 2000", PHO vs POR,2,11,Missed,76-54
"Nov 2, 2000", PHO vs POR,2,0,Made,83-55
"Nov 2, 2000", PHO vs POR,2,7,Made,85-69
"Nov 2, 2000", PHO vs POR,2,0,Made,90-69
"Nov 2, 2000", PHO vs POR,2,19,Missed,95-74
"Nov 4, 2000", PHO at DEN,2,17,Made,5-7
"Nov 4, 2000", PHO at DEN,2,11,Missed,5-7
"Nov 4, 2000", PHO at DEN,2,19,Made,7-7
"Nov 4, 2000", PHO at DEN,2,12,Made,11-7
"Nov 4, 2000", PHO at DEN,2,7,Made,15-7
"Nov 4, 2000", PHO at DEN,2,0,Made,17-7
"Nov 4, 2000", PHO at DEN,3,26,Missed,40-30
"Nov 4, 2000", PHO at DEN,2,9,Made,47-41
"Nov 4, 2000", PHO at DEN,3,25,Missed,56-54
"Nov 4, 2000", PHO at DEN,2,16,Made,58-56
"Nov 4, 2000", PHO at DEN,3,25,Missed,65-70
"Nov 4, 2000", PHO at DEN,3,25,Made,84-94
"Nov 5, 2000", PHO vs HOU,2,0,Missed,8-4
"Nov 5, 2000", PHO vs HOU,2,14,Missed,8-9
"Nov 5, 2000", PHO vs HOU,2,0,Made,10-9
"Nov 5, 2000", PHO vs HOU,2,6,Missed,12-15
"Nov 5, 2000", PHO vs HOU,2,0,Made,14-15
"Nov 5, 2000", PHO vs HOU,3,24,Missed,28-27
"Nov 5, 2000", PHO vs HOU,2,0,Made,48-43
"Nov 5, 2000", PHO vs HOU,2,19,Made,58-47
"Nov 5, 2000", PHO vs HOU,2,8,Missed,60-51
"Nov 5, 2000", PHO vs HOU,2,21,Made,62-53
"Nov 7, 2000", PHO vs SAS,2,11,Made,10-8
"Nov 7, 2000", PHO vs SAS,2,0,Made,14-8
"Nov 7, 2000", PHO vs SAS,2,19,Missed,14-15
"Nov 7, 2000", PHO vs SAS,2,0,Made,18-19
"Nov 7, 2000", PHO vs SAS,2,0,Made,21-19
"Nov 7, 2000", PHO vs SAS,2,17,Made,44-32
"Nov 7, 2000", PHO vs SAS,2,9,Made,51-34
"Nov 7, 2000", PHO vs SAS,2,10,Made,53-36
"Nov 7, 2000", PHO vs SAS,2,16,Missed,53-40
"Nov 7, 2000", PHO vs SAS,2,0,Made,70-57
"Nov 7, 2000", PHO vs SAS,2,0,Made,74-57
"Nov 7, 2000", PHO vs SAS,2,20,Made,94-74
"Nov 9, 2000", PHO vs ATL,3,23,Missed,2-4
"Nov 9, 2000", PHO vs ATL,2,10,Made,4-6
"Nov 9, 2000", PHO vs ATL,2,17,Missed,4-8
"Nov 9, 2000", PHO vs ATL,2,0,Missed,7-10
"Nov 9, 2000", PHO vs ATL,2,16,Made,13-12
"Nov 9, 2000", PHO vs ATL,2,0,Made,19-14
"Nov 9, 2000", PHO vs ATL,2,16,Made,21-14
"Nov 9, 2000", PHO vs ATL,2,15,Missed,21-14
"Nov 9, 2000", PHO vs ATL,2,6,Missed,29-29
"Nov 9, 2000", PHO vs ATL,2,15,Missed,31-31
"Nov 9, 2000", PHO vs ATL,2,0,Missed,31-31
"Nov 9, 2000", PHO vs ATL,2,0,Made,33-31
"Nov 9, 2000", PHO vs ATL,2,15,Made,37-34
"Nov 9, 2000", PHO vs ATL,2,0,Missed,39-34
"Nov 9, 2000", PHO vs ATL,2,5,Missed,41-36
"Nov 9, 2000", PHO vs ATL,2,0,Made,53-42
"Nov 9, 2000", PHO vs ATL,2,14,Made,55-42
"Nov 9, 2000", PHO vs ATL,2,0,Missed,55-44
"Nov 9, 2000", PHO vs ATL,2,13,Missed,55-44
"Nov 9, 2000", PHO vs ATL,2,0,Missed,58-50
"Nov 9, 2000", PHO vs ATL,2,6,Made,70-60
"Nov 9, 2000", PHO vs ATL,2,7,Made,72-60
"Nov 11, 2000", PHO vs MIA,3,23,Missed,7-9
"Nov 11, 2000", PHO vs MIA,2,0,Made,17-12
"Nov 11, 2000", PHO vs MIA,2,9,Missed,26-18
"Nov 11, 2000", PHO vs MIA,2,16,Made,41-34
"Nov 11, 2000", PHO vs MIA,2,0,Made,45-34
"Nov 11, 2000", PHO vs MIA,2,21,Made,47-44
"Nov 11, 2000", PHO vs MIA,2,0,Made,49-44
"Nov 11, 2000", PHO vs MIA,2,16,Made,51-46
"Nov 11, 2000", PHO vs MIA,2,17,Missed,56-60
"Nov 11, 2000", PHO vs MIA,2,12,Made,78-77
"Nov 11, 2000", PHO vs MIA,3,23,Missed,78-79
"Nov 11, 2000", PHO vs MIA,2,0,Made,84-82
"Nov 15, 2000", PHO vs DAL,2,16,Missed,4-4
"Nov 15, 2000", PHO vs DAL,2,0,Made,13-13
"Nov 15, 2000", PHO vs DAL,2,15,Missed,13-15
"Nov 15, 2000", PHO vs DAL,2,0,Missed,15-17
"Nov 15, 2000", PHO vs DAL,2,7,Missed,17-21
"Nov 15, 2000", PHO vs DAL,2,0,Made,22-22
"Nov 15, 2000", PHO vs DAL,2,7,Missed,22-22
"Nov 15, 2000", PHO vs DAL,2,6,Missed,27-24
"Nov 15, 2000", PHO vs DAL,2,16,Missed,38-36
"Nov 15, 2000", PHO vs DAL,2,17,Made,50-42
"Nov 15, 2000", PHO vs DAL,2,0,Made,52-47
"Nov 15, 2000", PHO vs DAL,2,10,Made,58-51
"Nov 15, 2000", PHO vs DAL,2,13,Missed,58-51
