date,game,value,distance,made,score
"Oct 31, 2000", ORL vs WAS,3,25,Made,5-3
"Oct 31, 2000", ORL vs WAS,3,25,Made,9-5
"Oct 31, 2000", ORL vs WAS,2,18,Missed,9-5
"Oct 31, 2000", ORL vs WAS,2,0,Made,17-11
"Oct 31, 2000", ORL vs WAS,2,10,Made,19-15
"Oct 31, 2000", ORL vs WAS,2,18,Missed,23-19
"Oct 31, 2000", ORL vs WAS,2,3,Missed,31-24
"Oct 31, 2000", ORL vs WAS,2,20,Made,33-26
"Oct 31, 2000", ORL vs WAS,2,17,Missed,37-32
"Oct 31, 2000", ORL vs WAS,2,0,Missed,37-32
"Oct 31, 2000", ORL vs WAS,2,0,Made,41-34
"Oct 31, 2000", ORL vs WAS,2,0,Missed,53-45
"Oct 31, 2000", ORL vs WAS,2,16,Missed,54-47
"Oct 31, 2000", ORL vs WAS,2,18,Missed,66-64
"Oct 31, 2000", ORL vs WAS,3,25,Missed,66-66
"Oct 31, 2000", ORL vs WAS,2,5,Made,70-66
"Oct 31, 2000", ORL vs WAS,2,23,Made,75-70
"Oct 31, 2000", ORL vs WAS,2,18,Made,79-70
"Oct 31, 2000", ORL vs WAS,2,20,Missed,81-73
"Oct 31, 2000", ORL vs WAS,2,0,Made,85-76
"Oct 31, 2000", ORL vs WAS,2,15,Made,90-80
"Oct 31, 2000", ORL vs WAS,2,4,Missed,90-82
"Oct 31, 2000", ORL vs WAS,2,18,Missed,90-84
"Oct 31, 2000", ORL vs WAS,2,18,Missed,97-86
"Nov 1, 2000", ORL at MIA,2,15,Missed,3-7
"Nov 1, 2000", ORL at MIA,2,0,Missed,3-12
"Nov 1, 2000", ORL at MIA,2,19,Missed,5-19
"Nov 1, 2000", ORL at MIA,2,13,Made,7-21
"Nov 1, 2000", ORL at MIA,2,15,Missed,7-27
"Nov 1, 2000", ORL at MIA,2,4,Made,11-30
"Nov 1, 2000", ORL at MIA,2,0,Made,13-31
"Nov 1, 2000", ORL at MIA,3,25,Missed,14-33
"Nov 1, 2000", ORL at MIA,2,14,Missed,28-50
"Nov 1, 2000", ORL at MIA,2,18,Made,31-52
"Nov 1, 2000", ORL at MIA,2,0,Made,35-59
"Nov 1, 2000", ORL at MIA,2,19,Missed,35-61
"Nov 1, 2000", ORL at MIA,2,0,Made,39-63
"Nov 1, 2000", ORL at MIA,2,6,Missed,44-72
"Nov 1, 2000", ORL at MIA,2,14,Made,49-74
"Nov 1, 2000", ORL at MIA,2,21,Missed,51-81
"Nov 3, 2000", ORL vs PHI,3,27,Missed,6-6
"Nov 3, 2000", ORL vs PHI,2,17,Missed,8-10
"Nov 3, 2000", ORL vs PHI,2,0,Missed,10-10
"Nov 3, 2000", ORL vs PHI,2,16,Missed,16-24
"Nov 3, 2000", ORL vs PHI,2,17,Missed,16-24
"Nov 3, 2000", ORL vs PHI,2,0,Made,18-24
"Nov 3, 2000", ORL vs PHI,2,18,Missed,24-32
"Nov 3, 2000", ORL vs PHI,2,16,Missed,34-41
"Nov 3, 2000", ORL vs PHI,2,18,Made,42-47
"Nov 3, 2000", ORL vs PHI,2,10,Missed,45-49
"Nov 3, 2000", ORL vs PHI,2,15,Missed,47-54
"Nov 3, 2000", ORL vs PHI,2,0,Made,56-54
"Nov 3, 2000", ORL vs PHI,2,0,Made,58-54
"Nov 3, 2000", ORL vs PHI,2,18,Missed,58-59
"Nov 3, 2000", ORL vs PHI,2,13,Missed,66-65
"Nov 3, 2000", ORL vs PHI,2,0,Missed,66-67
"Nov 3, 2000", ORL vs PHI,2,6,Made,72-68
"Nov 3, 2000", ORL vs PHI,2,15,Missed,72-68
"Nov 6, 2000", ORL vs SEA,3,26,Missed,0-0
"Nov 6, 2000", ORL vs SEA,2,0,Missed,6-5
"Nov 6, 2000", ORL vs SEA,2,0,Made,8-5
"Nov 6, 2000", ORL vs SEA,2,18,Missed,11-11
"Nov 6, 2000", ORL vs SEA,2,0,Made,20-20
"Nov 6, 2000", ORL vs SEA,2,0,Made,24-24
"Nov 6, 2000", ORL vs SEA,2,15,Missed,24-24
"Nov 6, 2000", ORL vs SEA,2,0,Made,40-41
"Nov 6, 2000", ORL vs SEA,2,0,Missed,40-45
"Nov 6, 2000", ORL vs SEA,2,9,Missed,40-45
"Nov 6, 2000", ORL vs SEA,2,8,Missed,40-47
"Nov 6, 2000", ORL vs SEA,2,0,Made,42-47
"Nov 6, 2000", ORL vs SEA,2,15,Missed,42-47
"Nov 6, 2000", ORL vs SEA,2,0,Made,62-60
"Nov 6, 2000", ORL vs SEA,2,0,Made,69-62
"Nov 6, 2000", ORL vs SEA,2,0,Made,77-70
"Nov 6, 2000", ORL vs SEA,3,25,Made,90-83
"Nov 6, 2000", ORL vs SEA,2,0,Missed,90-83
"Nov 6, 2000", ORL vs SEA,2,12,Made,95-89
"Nov 6, 2000", ORL vs SEA,2,12,Made,99-89
"Nov 6, 2000", ORL vs SEA,2,15,Missed,103-92
"Nov 8, 2000", ORL vs CHH,2,15,Missed,2-4
"Nov 8, 2000", ORL vs CHH,2,0,Made,4-4
"Nov 8, 2000", ORL vs CHH,2,15,Missed,22-21
"Nov 8, 2000", ORL vs CHH,2,0,Missed,24-23
"Nov 8, 2000", ORL vs CHH,2,0,Made,26-23
"Nov 8, 2000", ORL vs CHH,2,19,Missed,37-34
"Nov 8, 2000", ORL vs CHH,2,0,Missed,39-41
"Nov 8, 2000", ORL vs CHH,2,0,Made,44-45
"Nov 8, 2000", ORL vs CHH,2,22,Made,51-52
"Nov 8, 2000", ORL vs CHH,2,0,Missed,51-61
"Nov 8, 2000", ORL vs CHH,2,19,Missed,58-70
"Nov 8, 2000", ORL vs CHH,2,7,Missed,61-77
"Nov 8, 2000", ORL vs CHH,2,19,Missed,78-83
"Nov 8, 2000", ORL vs CHH,2,6,Missed,78-83
"Nov 8, 2000", ORL vs CHH,2,16,Missed,79-89
"Nov 8, 2000", ORL vs CHH,2,0,Made,90-96
"Nov 9, 2000", ORL at CHI,3,25,Missed,2-4
"Nov 9, 2000", ORL at CHI,2,0,Missed,2-6
"Nov 9, 2000", ORL at CHI,2,0,Missed,2-6
"Nov 9, 2000", ORL at CHI,2,0,Missed,2-6
"Nov 9, 2000", ORL at CHI,2,18,Missed,2-8
"Nov 9, 2000", ORL at CHI,2,20,Made,4-12
"Nov 9, 2000", ORL at CHI,2,0,Made,22-33
"Nov 9, 2000", ORL at CHI,3,25,Missed,22-33
"Nov 9, 2000", ORL at CHI,2,0,Made,28-37
"Nov 9, 2000", ORL at CHI,2,21,Missed,28-42
"Nov 9, 2000", ORL at CHI,2,0,Made,32-43
"Nov 9, 2000", ORL at CHI,2,23,Missed,46-58
"Nov 9, 2000", ORL at CHI,3,25,Missed,56-70
"Nov 9, 2000", ORL at CHI,2,0,Made,58-70
"Nov 9, 2000", ORL at CHI,2,7,Missed,66-74
"Nov 9, 2000", ORL at CHI,2,13,Made,68-77
"Nov 9, 2000", ORL at CHI,2,0,Made,74-81
"Nov 9, 2000", ORL at CHI,2,12,Made,83-87
"Nov 9, 2000", ORL at CHI,3,25,Made,90-93
"Nov 12, 2000", ORL at GSW,3,27,Missed,0-2
"Nov 12, 2000", ORL at GSW,2,12,Missed,2-4
"Nov 12, 2000", ORL at GSW,2,18,Missed,2-4
"Nov 12, 2000", ORL at GSW,2,0,Made,4-4
"Nov 12, 2000", ORL at GSW,2,0,Made,6-6
"Nov 12, 2000", ORL at GSW,2,0,Missed,8-8
"Nov 12, 2000", ORL at GSW,2,11,Missed,14-8
"Nov 12, 2000", ORL at GSW,2,0,Missed,18-8
"Nov 12, 2000", ORL at GSW,3,25,Missed,37-26
"Nov 12, 2000", ORL at GSW,2,6,Missed,37-26
"Nov 12, 2000", ORL at GSW,2,0,Made,48-41
"Nov 12, 2000", ORL at GSW,2,4,Missed,49-41
"Nov 12, 2000", ORL at GSW,2,2,Made,51-43
"Nov 12, 2000", ORL at GSW,2,8,Missed,51-45
"Nov 12, 2000", ORL at GSW,2,19,Made,53-45
"Nov 12, 2000", ORL at GSW,2,14,Missed,53-47
"Nov 12, 2000", ORL at GSW,2,17,Missed,56-49
"Nov 12, 2000", ORL at GSW,2,2,Made,59-55
"Nov 12, 2000", ORL at GSW,2,17,Made,62-61
"Nov 12, 2000", ORL at GSW,2,0,Made,82-77
"Nov 12, 2000", ORL at GSW,2,8,Made,88-79
"Nov 12, 2000", ORL at GSW,2,18,Missed,89-87
"Nov 12, 2000", ORL at GSW,2,0,Made,91-89
"Nov 14, 2000", ORL at SAC,2,2,Missed,2-4
"Nov 14, 2000", ORL at SAC,2,14,Made,6-8
"Nov 14, 2000", ORL at SAC,3,23,Made,16-12
