date,game,value,distance,made,score
"Oct 31, 2000", TOR vs DET,2,18,Missed,0-0
"Oct 31, 2000", TOR vs DET,3,25,Missed,0-2
"Oct 31, 2000", TOR vs DET,3,25,Made,18-20
"Oct 31, 2000", TOR vs DET,2,10,Missed,24-27
"Oct 31, 2000", TOR vs DET,3,24,Missed,26-29
"Oct 31, 2000", TOR vs DET,2,8,Missed,26-29
"Oct 31, 2000", TOR vs DET,2,0,Missed,26-29
"Oct 31, 2000", TOR vs DET,2,14,Made,30-31
"Oct 31, 2000", TOR vs DET,2,0,Missed,32-43
"Oct 31, 2000", TOR vs DET,2,0,Made,36-43
"Oct 31, 2000", TOR vs DET,2,0,Made,41-45
"Oct 31, 2000", TOR vs DET,2,8,Missed,44-51
"Oct 31, 2000", TOR vs DET,2,0,Made,46-54
"Oct 31, 2000", TOR vs DET,2,20,Missed,46-56
"Oct 31, 2000", TOR vs DET,2,19,Made,52-60
"Oct 31, 2000", TOR vs DET,2,17,Made,56-66
"Oct 31, 2000", TOR vs DET,2,18,Missed,56-72
"Oct 31, 2000", TOR vs DET,2,0,Missed,56-74
"Oct 31, 2000", TOR vs DET,2,17,Made,66-83
"Oct 31, 2000", TOR vs DET,3,25,Missed,78-91
"Oct 31, 2000", TOR vs DET,2,0,Missed,78-93
"Oct 31, 2000", TOR vs DET,2,0,Missed,78-93
"Oct 31, 2000", TOR vs DET,2,0,Missed,84-97
"Oct 31, 2000", TOR vs DET,2,21,Made,87-97
"Nov 1, 2000", TOR at PHI,2,15,Made,2-0
"Nov 1, 2000", TOR at PHI,2,0,Made,6-1
"Nov 1, 2000", TOR at PHI,3,25,Made,13-3
"Nov 1, 2000", TOR at PHI,2,21,Made,24-17
"Nov 1, 2000", TOR at PHI,2,0,Made,26-21
"Nov 1, 2000", TOR at PHI,3,27,Made,31-21
"Nov 1, 2000", TOR at PHI,2,9,Missed,43-42
"Nov 1, 2000", TOR at PHI,3,29,Missed,43-42
"Nov 1, 2000", TOR at PHI,2,8,Missed,45-52
"Nov 1, 2000", TOR at PHI,2,10,Made,49-54
"Nov 1, 2000", TOR at PHI,2,14,Made,57-61
"Nov 1, 2000", TOR at PHI,2,16,Missed,63-70
"Nov 1, 2000", TOR at PHI,2,15,Missed,69-75
"Nov 1, 2000", TOR at PHI,2,6,Missed,73-75
"Nov 1, 2000", TOR at PHI,2,0,Missed,75-78
"Nov 1, 2000", TOR at PHI,2,3,Missed,81-81
"Nov 1, 2000", TOR at PHI,3,27,Missed,81-81
"Nov 1, 2000", TOR at PHI,2,0,Made,89-93
"Nov 1, 2000", TOR at PHI,2,1,Missed,98-104
"Nov 3, 2000", TOR at BOS,2,20,Missed,0-0
"Nov 3, 2000", TOR at BOS,2,3,Made,2-0
"Nov 3, 2000", TOR at BOS,2,19,Made,7-2
"Nov 3, 2000", TOR at BOS,2,2,Missed,7-2
"Nov 3, 2000", TOR at BOS,2,18,Missed,7-5
"Nov 3, 2000", TOR at BOS,2,15,Made,16-5
"Nov 3, 2000", TOR at BOS,2,16,Made,22-9
"Nov 3, 2000", TOR at BOS,2,15,Made,29-10
"Nov 3, 2000", TOR at BOS,2,22,Made,31-13
"Nov 3, 2000", TOR at BOS,3,25,Made,36-15
"Nov 3, 2000", TOR at BOS,3,25,Missed,36-15
"Nov 3, 2000", TOR at BOS,2,4,Made,45-28
"Nov 3, 2000", TOR at BOS,2,22,Made,51-44
"Nov 3, 2000", TOR at BOS,2,17,Made,53-46
"Nov 3, 2000", TOR at BOS,3,26,Missed,53-46
"Nov 3, 2000", TOR at BOS,2,7,Missed,55-51
"Nov 3, 2000", TOR at BOS,2,20,Made,57-54
"Nov 3, 2000", TOR at BOS,2,16,Missed,57-60
"Nov 3, 2000", TOR at BOS,2,23,Made,62-62
"Nov 3, 2000", TOR at BOS,2,15,Missed,64-66
"Nov 3, 2000", TOR at BOS,2,6,Missed,68-76
"Nov 3, 2000", TOR at BOS,3,25,Made,73-78
"Nov 3, 2000", TOR at BOS,2,7,Missed,84-88
"Nov 3, 2000", TOR at BOS,2,5,Missed,88-91
"Nov 3, 2000", TOR at BOS,3,28,Missed,88-91
"Nov 4, 2000", TOR vs WAS,2,17,Made,2-2
"Nov 4, 2000", TOR vs WAS,2,0,Made,8-8
"Nov 4, 2000", TOR vs WAS,3,26,Missed,14-12
"Nov 4, 2000", TOR vs WAS,2,0,Made,16-14
"Nov 4, 2000", TOR vs WAS,2,0,Made,18-16
"Nov 4, 2000", TOR vs WAS,2,21,Missed,22-24
"Nov 4, 2000", TOR vs WAS,2,0,Missed,22-24
"Nov 4, 2000", TOR vs WAS,3,24,Made,41-27
"Nov 4, 2000", TOR vs WAS,3,25,Missed,43-33
"Nov 4, 2000", TOR vs WAS,2,11,Missed,43-35
"Nov 4, 2000", TOR vs WAS,2,0,Missed,46-40
"Nov 4, 2000", TOR vs WAS,3,25,Made,49-40
"Nov 4, 2000", TOR vs WAS,2,10,Made,55-46
"Nov 4, 2000", TOR vs WAS,2,0,Made,57-48
"Nov 4, 2000", TOR vs WAS,2,9,Missed,57-51
"Nov 4, 2000", TOR vs WAS,3,26,Missed,57-53
"Nov 4, 2000", TOR vs WAS,2,18,Missed,63-57
"Nov 4, 2000", TOR vs WAS,3,23,Missed,63-57
"Nov 4, 2000", TOR vs WAS,2,12,Made,65-61
"Nov 4, 2000", TOR vs WAS,2,20,Missed,85-79
"Nov 4, 2000", TOR vs WAS,2,17,Made,94-87
"Nov 7, 2000", TOR vs BOS,2,18,Made,2-0
"Nov 7, 2000", TOR vs BOS,2,16,Missed,11-10
"Nov 7, 2000", TOR vs BOS,3,26,Missed,19-10
"Nov 7, 2000", TOR vs BOS,2,11,Made,25-15
"Nov 7, 2000", TOR vs BOS,2,0,Missed,25-15
"Nov 7, 2000", TOR vs BOS,2,9,Missed,39-38
"Nov 7, 2000", TOR vs BOS,2,0,Missed,41-38
"Nov 7, 2000", TOR vs BOS,2,8,Missed,45-40
"Nov 7, 2000", TOR vs BOS,2,17,Missed,50-40
"Nov 7, 2000", TOR vs BOS,3,24,Made,54-44
"Nov 7, 2000", TOR vs BOS,3,25,Made,62-48
"Nov 7, 2000", TOR vs BOS,3,25,Made,71-48
"Nov 7, 2000", TOR vs BOS,2,19,Made,73-50
"Nov 7, 2000", TOR vs BOS,2,18,Made,75-50
"Nov 7, 2000", TOR vs BOS,2,0,Made,85-54
"Nov 7, 2000", TOR vs BOS,2,0,Made,93-58
"Nov 10, 2000", TOR vs CLE,2,0,Missed,0-0
"Nov 10, 2000", TOR vs CLE,2,16,Made,6-2
"Nov 10, 2000", TOR vs CLE,3,26,Missed,10-8
"Nov 10, 2000", TOR vs CLE,2,11,Made,14-8
"Nov 10, 2000", TOR vs CLE,3,25,Missed,23-19
"Nov 10, 2000", TOR vs CLE,2,0,Made,41-31
"Nov 10, 2000", TOR vs CLE,2,17,Made,43-33
"Nov 10, 2000", TOR vs CLE,2,19,Missed,46-38
