date,game,value,distance,made,score
"Oct 29, 2003", DEN vs SAS,2,0,Missed,0-0
"Oct 29, 2003", DEN vs SAS,2,0,Made,5-2
"Oct 29, 2003", DEN vs SAS,2,19,Missed,8-4
"Oct 29, 2003", DEN vs SAS,2,0,Missed,12-6
"Oct 29, 2003", DEN vs SAS,2,0,Missed,12-8
"Oct 29, 2003", DEN vs SAS,2,0,Made,14-8
"Oct 29, 2003", DEN vs SAS,2,0,Made,48-38
"Oct 29, 2003", DEN vs SAS,2,0,Missed,51-40
"Oct 29, 2003", DEN vs SAS,2,0,Missed,51-40
"Oct 29, 2003", DEN vs SAS,2,0,Missed,52-42
"Oct 29, 2003", DEN vs SAS,3,24,Missed,64-53
"Oct 29, 2003", DEN vs SAS,2,0,Made,69-55
"Oct 29, 2003", DEN vs SAS,2,18,Missed,72-60
"Oct 29, 2003", DEN vs SAS,2,0,Missed,74-62
"Oct 29, 2003", DEN vs SAS,2,0,Missed,74-62
"Oct 30, 2003", DEN at HOU,2,17,Missed,2-4
"Oct 30, 2003", DEN at HOU,2,0,Made,4-6
"Oct 30, 2003", DEN at HOU,2,0,Missed,10-14
"Oct 30, 2003", DEN at HOU,2,0,Missed,10-14
"Oct 30, 2003", DEN at HOU,2,23,Missed,27-29
"Oct 30, 2003", DEN at HOU,3,25,Missed,34-37
"Oct 30, 2003", DEN at HOU,2,0,Missed,45-55
"Oct 30, 2003", DEN at HOU,2,15,Missed,47-55
"Oct 30, 2003", DEN at HOU,3,24,Missed,48-62
"Oct 30, 2003", DEN at HOU,2,0,Made,51-64
"Oct 30, 2003", DEN at HOU,3,26,Made,57-70
"Oct 30, 2003", DEN at HOU,2,16,Missed,71-91
"Oct 30, 2003", DEN at HOU,2,0,Made,78-98
"Oct 30, 2003", DEN at HOU,2,0,Made,82-102
"Nov 1, 2003", DEN vs SAC,2,7,Missed,9-8
"Nov 1, 2003", DEN vs SAC,2,22,Missed,16-13
"Nov 1, 2003", DEN vs SAC,2,0,Made,18-13
"Nov 1, 2003", DEN vs SAC,2,18,Made,20-16
"Nov 1, 2003", DEN vs SAC,2,0,Made,26-23
"Nov 1, 2003", DEN vs SAC,3,24,Missed,45-37
"Nov 1, 2003", DEN vs SAC,2,0,Made,49-39
"Nov 1, 2003", DEN vs SAC,2,0,Made,52-43
"Nov 1, 2003", DEN vs SAC,2,0,Made,56-45
"Nov 1, 2003", DEN vs SAC,2,6,Made,68-59
"Nov 1, 2003", DEN vs SAC,2,19,Missed,75-68
"Nov 1, 2003", DEN vs SAC,2,0,Made,79-68
"Nov 1, 2003", DEN vs SAC,2,8,Missed,102-83
"Nov 1, 2003", DEN vs SAC,2,0,Made,104-86
"Nov 4, 2003", DEN at IND,2,3,Missed,0-2
"Nov 4, 2003", DEN at IND,2,1,Made,2-2
"Nov 4, 2003", DEN at IND,2,13,Missed,4-2
"Nov 4, 2003", DEN at IND,2,6,Missed,4-2
"Nov 4, 2003", DEN at IND,2,19,Missed,4-8
"Nov 4, 2003", DEN at IND,2,12,Missed,4-10
"Nov 4, 2003", DEN at IND,2,17,Missed,8-12
"Nov 4, 2003", DEN at IND,2,3,Missed,8-16
"Nov 4, 2003", DEN at IND,3,25,Missed,10-18
"Nov 4, 2003", DEN at IND,2,14,Missed,34-39
"Nov 4, 2003", DEN at IND,3,25,Missed,36-42
"Nov 4, 2003", DEN at IND,2,18,Missed,38-46
"Nov 4, 2003", DEN at IND,2,11,Missed,38-46
"Nov 5, 2003", DEN at CLE,2,2,Made,4-2
"Nov 5, 2003", DEN at CLE,2,20,Missed,4-4
"Nov 5, 2003", DEN at CLE,2,4,Made,6-6
"Nov 5, 2003", DEN at CLE,2,1,Made,8-6
"Nov 5, 2003", DEN at CLE,2,2,Missed,22-14
"Nov 5, 2003", DEN at CLE,2,15,Missed,27-18
"Nov 5, 2003", DEN at CLE,2,0,Made,29-18
"Nov 5, 2003", DEN at CLE,2,1,Missed,31-22
"Nov 5, 2003", DEN at CLE,3,24,Made,36-26
"Nov 5, 2003", DEN at CLE,2,1,Missed,36-31
"Nov 5, 2003", DEN at CLE,2,2,Missed,42-40
"Nov 5, 2003", DEN at CLE,2,0,Missed,42-40
"Nov 5, 2003", DEN at CLE,2,2,Made,59-56
"Nov 5, 2003", DEN at CLE,2,6,Missed,64-58
"Nov 5, 2003", DEN at CLE,2,17,Missed,83-72
"Nov 5, 2003", DEN at CLE,2,0,Missed,87-76
"Nov 5, 2003", DEN at CLE,3,25,Missed,89-78
"Nov 7, 2003", DEN vs LAC,2,20,Made,4-0
"Nov 7, 2003", DEN vs LAC,2,0,Made,6-2
"Nov 7, 2003", DEN vs LAC,3,25,Made,9-9
"Nov 7, 2003", DEN vs LAC,2,0,Missed,16-15
"Nov 7, 2003", DEN vs LAC,2,21,Missed,25-21
"Nov 7, 2003", DEN vs LAC,2,0,Made,27-21
"Nov 7, 2003", DEN vs LAC,2,18,Missed,35-33
"Nov 7, 2003", DEN vs LAC,2,0,Missed,43-37
"Nov 7, 2003", DEN vs LAC,3,25,Missed,47-43
"Nov 7, 2003", DEN vs LAC,2,6,Missed,47-43
"Nov 7, 2003", DEN vs LAC,2,0,Made,49-43
"Nov 7, 2003", DEN vs LAC,3,26,Missed,49-54
"Nov 7, 2003", DEN vs LAC,2,0,Missed,61-61
"Nov 7, 2003", DEN vs LAC,2,18,Missed,61-61
"Nov 7, 2003", DEN vs LAC,2,16,Missed,76-72
"Nov 7, 2003", DEN vs LAC,2,0,Made,86-83
"Nov 7, 2003", DEN vs LAC,2,0,Missed,87-83
"Nov 7, 2003", DEN vs LAC,3,25,Made,91-88
"Nov 7, 2003", DEN vs LAC,3,26,Made,94-90
"Nov 7, 2003", DEN vs LAC,2,18,Made,96-92
"Nov 7, 2003", DEN vs LAC,2,0,Missed,96-94
"Nov 7, 2003", DEN vs LAC,2,19,Missed,96-94
"Nov 7, 2003", DEN vs LAC,3,28,Missed,96-100
"Nov 7, 2003", DEN vs LAC,3,25,Made,99-100
"Nov 9, 2003", DEN at TOR,2,0,Made,4-6
"Nov 9, 2003", DEN at TOR,2,19,Missed,5-10
"Nov 9, 2003", DEN at TOR,2,20,Missed,7-22
"Nov 9, 2003", DEN at TOR,3,25,Made,26-32
"Nov 9, 2003", DEN at TOR,3,26,Missed,34-41
"Nov 9, 2003", DEN at TOR,2,12,Made,40-45
