date,game,value,distance,made,score,quarter,time
"Oct 30, 2001", WAS at NYK,2,15,Missed,2-1,1,10:45
"Oct 30, 2001", WAS at NYK,2,0,Made,4-1,1,10:28
"Oct 30, 2001", WAS at NYK,2,14,Missed,6-5,1,9:10
"Oct 30, 2001", WAS at NYK,2,0,Missed,6-5,1,8:30
"Oct 30, 2001", WAS at NYK,2,22,Made,10-7,1,7:15
"Oct 30, 2001", WAS at NYK,2,12,Made,12-9,1,6:40
"Oct 30, 2001", WAS at NYK,2,22,Missed,14-14,1,4:13
"Oct 30, 2001", WAS at NYK,3,26,Missed,14-14,1,3:13
"Oct 30, 2001", WAS at NYK,2,14,Made,27-22,2,9:52
"Oct 30, 2001", WAS at NYK,2,6,Missed,27-22,2,9:21
"Oct 30, 2001", WAS at NYK,2,11,Missed,33-24,2,7:18
"Oct 30, 2001", WAS at NYK,2,17,Made,39-28,2,4:26
"Oct 30, 2001", WAS at NYK,2,18,Missed,39-28,2,3:57
"Oct 30, 2001", WAS at NYK,2,21,Missed,49-55,3,7:59
"Oct 30, 2001", WAS at NYK,3,25,Missed,52-55,3,6:16
"Oct 30, 2001", WAS at NYK,2,20,Made,73-70,4,8:33
"Oct 30, 2001", WAS at NYK,2,7,Missed,79-77,4,5:25
"Oct 30, 2001", WAS at NYK,2,13,Missed,83-84,4,3:25
"Oct 30, 2001", WAS at NYK,2,14,Made,88-89,4,1:38
"Oct 30, 2001", WAS at NYK,2,20,Missed,88-89,4,1:11
"Oct 30, 2001", WAS at NYK,3,25,Missed,88-91,4,0:18
"Nov 1, 2001", WAS at ATL,2,13,Made,2-0,1,11:43
"Nov 1, 2001", WAS at ATL,2,16,Made,6-6,1,9:53
"Nov 1, 2001", WAS at ATL,2,0,Missed,13-10,1,7:25
"Nov 1, 2001", WAS at ATL,2,16,Made,15-10,1,7:21
"Nov 1, 2001", WAS at ATL,2,9,Made,19-13,1,6:30
"Nov 1, 2001", WAS at ATL,3,24,Missed,20-13,1,6:08
"Nov 1, 2001", WAS at ATL,2,0,Made,22-13,1,6:03
"Nov 1, 2001", WAS at ATL,2,20,Missed,22-15,1,5:14
"Nov 1, 2001", WAS at ATL,2,12,Missed,31-29,2,9:53
"Nov 1, 2001", WAS at ATL,2,18,Made,33-31,2,9:26
"Nov 1, 2001", WAS at ATL,2,13,Missed,33-33,2,9:04
"Nov 1, 2001", WAS at ATL,2,7,Missed,35-33,2,8:23
"Nov 1, 2001", WAS at ATL,2,0,Made,37-33,2,8:06
"Nov 1, 2001", WAS at ATL,2,16,Made,39-35,2,7:29
"Nov 1, 2001", WAS at ATL,3,26,Missed,39-39,2,6:26
"Nov 1, 2001", WAS at ATL,2,9,Missed,39-39,2,5:52
"Nov 1, 2001", WAS at ATL,2,9,Made,45-41,2,3:43
"Nov 1, 2001", WAS at ATL,2,14,Missed,45-43,2,3:12
"Nov 1, 2001", WAS at ATL,2,11,Missed,47-47,2,1:16
"Nov 1, 2001", WAS at ATL,3,25,Missed,49-50,2,0:29.2
"Nov 1, 2001", WAS at ATL,2,14,Made,51-53,3,11:28
"Nov 1, 2001", WAS at ATL,2,20,Missed,55-57,3,9:01
"Nov 1, 2001", WAS at ATL,2,15,Made,64-64,3,4:14
"Nov 1, 2001", WAS at ATL,2,0,Made,76-74,4,10:37
"Nov 1, 2001", WAS at ATL,2,13,Missed,76-74,4,9:13
"Nov 1, 2001", WAS at ATL,2,9,Made,82-77,4,7:09
"Nov 1, 2001", WAS at ATL,2,9,Missed,82-79,4,6:28
"Nov 1, 2001", WAS at ATL,2,14,Missed,82-81,4,5:44
"Nov 1, 2001", WAS at ATL,2,10,Missed,82-81,4,5:42
