date,game,value,distance,made,score
"Oct 28, 2009", OKC vs SAC,2,19,Made,41-22
"Oct 28, 2009", OKC vs SAC,3,23,Made,92-71
"Oct 30, 2009", OKC at DET,2,18,Missed,12-20
"Oct 30, 2009", OKC at DET,2,20,Missed,14-22
"Oct 30, 2009", OKC at DET,3,27,Missed,23-26
"Oct 30, 2009", OKC at DET,2,19,Made,29-30
"Oct 30, 2009", OKC at DET,2,0,Missed,58-59
"Oct 30, 2009", OKC at DET,2,0,Missed,68-63
"Nov 1, 2009", OKC vs POR,2,8,Missed,11-21
"Nov 1, 2009", OKC vs POR,2,0,Missed,11-21
"Nov 1, 2009", OKC vs POR,2,0,Missed,21-26
"Nov 1, 2009", OKC vs POR,2,0,Missed,23-26
"Nov 1, 2009", OKC vs POR,2,16,Missed,23-29
"Nov 1, 2009", OKC vs POR,3,24,Made,27-29
"Nov 1, 2009", OKC vs POR,3,23,Made,30-29
"Nov 1, 2009", OKC vs POR,3,24,Missed,56-58
"Nov 1, 2009", OKC vs POR,2,0,Missed,56-62
"Nov 3, 2009", OKC vs LAL,2,23,Made,17-28
"Nov 3, 2009", OKC vs LAL,2,0,Missed,27-32
"Nov 3, 2009", OKC vs LAL,2,0,Missed,29-34
"Nov 3, 2009", OKC vs LAL,2,6,Missed,33-36
"Nov 3, 2009", OKC vs LAL,2,19,Missed,33-38
"Nov 3, 2009", OKC vs LAL,3,24,Made,69-68
"Nov 3, 2009", OKC vs LAL,3,25,Missed,69-69
"Nov 3, 2009", OKC vs LAL,2,22,Missed,75-72
"Nov 3, 2009", OKC vs LAL,2,17,Made,77-72
"Nov 6, 2009", OKC at HOU,2,20,Missed,21-26
"Nov 6, 2009", OKC at HOU,2,20,Made,29-32
"Nov 6, 2009", OKC at HOU,2,11,Made,33-39
"Nov 8, 2009", OKC vs ORL,2,17,Missed,25-30
"Nov 8, 2009", OKC vs ORL,2,11,Made,81-57
"Nov 8, 2009", OKC vs ORL,2,18,Missed,96-68
"Nov 8, 2009", OKC vs ORL,3,24,Missed,98-70
"Nov 8, 2009", OKC vs ORL,2,0,Made,100-72
"Nov 10, 2009", OKC at SAC,2,21,Missed,23-21
"Nov 10, 2009", OKC at SAC,3,25,Missed,23-23
"Nov 10, 2009", OKC at SAC,3,25,Made,26-24
"Nov 10, 2009", OKC at SAC,2,4,Missed,26-24
"Nov 10, 2009", OKC at SAC,3,22,Made,31-28
"Nov 10, 2009", OKC at SAC,3,22,Missed,75-78
"Nov 11, 2009", OKC at LAC,2,21,Made,18-20
"Nov 11, 2009", OKC at LAC,3,26,Missed,25-24
"Nov 11, 2009", OKC at LAC,2,0,Made,27-26
"Nov 11, 2009", OKC at LAC,3,27,Missed,34-33
"Nov 11, 2009", OKC at LAC,2,0,Made,62-65
"Nov 11, 2009", OKC at LAC,3,28,Missed,62-67
"Nov 11, 2009", OKC at LAC,2,22,Missed,69-69
"Nov 11, 2009", OKC at LAC,2,0,Missed,78-74
"Nov 14, 2009", OKC at SAS,2,18,Made,31-28
"Nov 14, 2009", OKC at SAS,3,25,Missed,32-30
"Nov 14, 2009", OKC at SAS,2,19,Missed,34-36
"Nov 14, 2009", OKC at SAS,2,2,Made,78-74
"Nov 14, 2009", OKC at SAS,2,3,Made,80-74
"Nov 14, 2009", OKC at SAS,2,15,Missed,87-80
"Nov 15, 2009", OKC vs LAC,3,25,Missed,20-20
"Nov 15, 2009", OKC vs LAC,2,18,Missed,29-36
"Nov 15, 2009", OKC vs LAC,2,0,Missed,32-40
"Nov 15, 2009", OKC vs LAC,3,25,Missed,32-42
"Nov 15, 2009", OKC vs LAC,3,25,Missed,61-63
"Nov 15, 2009", OKC vs LAC,2,0,Missed,68-67
"Nov 15, 2009", OKC vs LAC,3,25,Missed,76-76
"Nov 17, 2009", OKC at MIA,3,24,Missed,17-16
"Nov 17, 2009", OKC at MIA,3,24,Made,31-17
"Nov 17, 2009", OKC at MIA,3,24,Missed,79-62
"Nov 18, 2009", OKC at ORL,2,19,Made,19-33
"Nov 18, 2009", OKC at ORL,3,25,Made,33-47
"Nov 18, 2009", OKC at ORL,2,0,Missed,36-53
"Nov 18, 2009", OKC at ORL,3,26,Made,39-53
"Nov 18, 2009", OKC at ORL,2,15,Missed,56-85
"Nov 18, 2009", OKC at ORL,3,24,Missed,56-85
"Nov 18, 2009", OKC at ORL,2,6,Missed,58-88
"Nov 18, 2009", OKC at ORL,2,0,Missed,58-88
"Nov 18, 2009", OKC at ORL,2,18,Missed,64-90
"Nov 18, 2009", OKC at ORL,3,26,Made,67-90
"Nov 18, 2009", OKC at ORL,3,26,Made,74-94
"Nov 18, 2009", OKC at ORL,2,13,Missed,76-97
"Nov 18, 2009", OKC at ORL,3,26,Made,85-101
"Nov 18, 2009", OKC at ORL,3,27,Made,91-105
"Nov 20, 2009", OKC vs WAS,3,25,Made,28-16
"Nov 20, 2009", OKC vs WAS,3,25,Made,31-22
"Nov 20, 2009", OKC vs WAS,3,25,Made,35-32
"Nov 20, 2009", OKC vs WAS,3,24,Missed,82-74
"Nov 20, 2009", OKC vs WAS,2,20,Made,97-86
"Nov 20, 2009", OKC vs WAS,3,25,Made,109-94
"Nov 20, 2009", OKC vs WAS,2,0,Made,111-94
"Nov 20, 2009", OKC vs WAS,3,25,Missed,111-94
"Nov 20, 2009", OKC vs WAS,2,0,Missed,111-100
"Nov 20, 2009", OKC vs WAS,2,0,Made,120-108
"Nov 20, 2009", OKC vs WAS,2,18,Made,127-108
"Nov 22, 2009", OKC at LAL,3,26,Missed,8-23
"Nov 22, 2009", OKC at LAL,3,28,Missed,12-31
"Nov 22, 2009", OKC at LAL,2,0,Missed,12-31
"Nov 22, 2009", OKC at LAL,2,21,Missed,16-35
"Nov 22, 2009", OKC at LAL,3,24,Missed,29-43
"Nov 22, 2009", OKC at LAL,2,17,Made,31-45
"Nov 22, 2009", OKC at LAL,3,25,Missed,32-49
"Nov 22, 2009", OKC at LAL,3,27,Missed,34-57
"Nov 22, 2009", OKC at LAL,3,25,Missed,34-57
"Nov 22, 2009", OKC at LAL,3,25,Missed,60-86
"Nov 22, 2009", OKC at LAL,2,17,Missed,62-89
"Nov 22, 2009", OKC at LAL,3,25,Missed,67-93
"Nov 22, 2009", OKC at LAL,2,0,Made,69-93
"Nov 22, 2009", OKC at LAL,3,25,Missed,79-99
"Nov 22, 2009", OKC at LAL,3,27,Missed,83-99
"Nov 24, 2009", OKC at UTA,2,0,Made,29-28
"Nov 24, 2009", OKC at UTA,2,0,Made,34-32
"Nov 24, 2009", OKC at UTA,2,0,Made,36-34
"Nov 24, 2009", OKC at UTA,3,24,Made,39-36
"Nov 24, 2009", OKC at UTA,3,23,Missed,51-46
"Nov 27, 2009", OKC vs MIL,2,0,Made,31-26
"Nov 27, 2009", OKC vs MIL,2,15,Made,33-30
"Nov 27, 2009", OKC vs MIL,2,0,Made,35-30
"Nov 27, 2009", OKC vs MIL,3,23,Made,49-48
"Nov 27, 2009", OKC vs MIL,3,23,Made,82-65
"Nov 27, 2009", OKC vs MIL,3,25,Made,100-78
"Nov 27, 2009", OKC vs MIL,2,18,Missed,108-87
"Nov 29, 2009", OKC vs HOU,2,0,Missed,35-29
"Nov 29, 2009", OKC vs HOU,2,0,Made,67-63
"Nov 29, 2009", OKC vs HOU,3,25,Missed,67-65
"Nov 29, 2009", OKC vs HOU,2,20,Missed,73-76
"Dec 2, 2009", OKC vs PHI,3,24,Missed,29-33
"Dec 2, 2009", OKC vs PHI,2,0,Missed,33-35
"Dec 2, 2009", OKC vs PHI,2,0,Made,37-35
"Dec 2, 2009", OKC vs PHI,3,26,Made,42-39
"Dec 2, 2009", OKC vs PHI,2,0,Missed,50-47
"Dec 2, 2009", OKC vs PHI,3,24,Missed,91-84
"Dec 2, 2009", OKC vs PHI,2,14,Made,96-88
"Dec 4, 2009", OKC vs BOS,2,8,Made,55-71
"Dec 4, 2009", OKC vs BOS,2,17,Missed,60-78
"Dec 4, 2009", OKC vs BOS,2,22,Missed,61-85
"Dec 4, 2009", OKC vs BOS,3,24,Missed,74-98
"Dec 4, 2009", OKC vs BOS,3,24,Missed,77-101
"Dec 4, 2009", OKC vs BOS,3,24,Missed,83-102
"Dec 7, 2009", OKC vs GSW,2,0,Made,20-23
"Dec 7, 2009", OKC vs GSW,2,0,Missed,24-27
"Dec 7, 2009", OKC vs GSW,3,25,Missed,24-30
"Dec 7, 2009", OKC vs GSW,3,25,Made,39-35
"Dec 7, 2009", OKC vs GSW,3,24,Missed,50-49
"Dec 7, 2009", OKC vs GSW,2,18,Missed,74-65
"Dec 7, 2009", OKC vs GSW,2,20,Made,77-67
"Dec 7, 2009", OKC vs GSW,3,25,Missed,79-69
"Dec 7, 2009", OKC vs GSW,2,0,Made,83-69
"Dec 7, 2009", OKC vs GSW,2,0,Missed,85-72
"Dec 7, 2009", OKC vs GSW,2,0,Made,94-78
