id,player_name,season,age,team,pos,games,games_started,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Lucas Nogueira,2014-15,22,TOR,C,6,0,3.8,0.3,1.3,.250,0.0,,0.3,1.3,.250,.250,0.3,0.7,.500,0.3,1.5,1.8,0.2,0.3,0.0,0.3,1.0,1.0
1,Lucas Nogueira,2015-16,23,TOR,C,29,1,7.8,1.0,1.5,.636,0.0,.333,0.9,1.4,.659,.648,0.3,0.5,.533,0.6,1.0,1.6,0.2,0.4,0.4,0.4,1.0,2.2
2,Lucas Nogueira,2016-17,24,TOR,C,57,6,19.1,1.8,2.7,.660,0.1,.250,1.8,2.5,.694,.670,0.8,1.2,.657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4
3,Lucas Nogueira,2017-18,25,TOR,C,48,2,8.6,1.0,1.6,.610,0.1,.278,0.9,1.2,.712,.643,0.4,0.6,.679,0.4,1.4,1.8,0.4,0.5,0.9,0.3,1.0,2.5
4,Jonas Valanciunas,2012-13,20,TOR,C,62,57,23.9,3.3,5.9,.557,0.0,,3.3,5.9,.557,.557,2.4,3.0,.789,2.0,4.0,6.0,0.7,0.3,1.3,1.5,3.0,8.9
5,Jonas Valanciunas,2013-14,21,TOR,C,81,81,28.2,4.4,8.3,.531,0.0,.000,4.4,8.3,.532,.531,2.4,3.2,.762,2.8,6.0,8.8,0.7,0.3,0.9,1.7,3.1,11.3
6,Jonas Valanciunas,2014-15,22,TOR,C,80,80,26.2,4.7,8.2,.572,0.0,.000,4.7,8.1,.573,.572,2.7,3.5,.786,2.7,6.0,8.7,0.5,0.4,1.2,1.4,2.8,12.0
7,Jonas Valanciunas,2015-16,23,TOR,C,60,59,26.0,5.1,8.9,.565,0.0,,5.1,8.9,.565,.565,2.7,3.6,.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
8,Jonas Valanciunas,2016-17,24,TOR,C,80,80,25.8,4.9,8.8,.557,0.0,.500,4.9,8.8,.557,.558,2.2,2.7,.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0
9,Jonas Valanciunas,2017-18,25,TOR,C,75,75,22.4,5.0,8.9,.562,0.4,.408,4.6,7.9,.581,.584,2.2,2.8,.802,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.6
10,Delon Wright,2015-16,23,TOR,PG,27,1,8.5,1.3,3.0,.450,0.2,.385,1.1,2.5,.463,.481,1.0,1.3,.743,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8
11,Delon Wright,2016-17,24,TOR,PG,27,0,16.5,1.8,4.3,.422,0.4,.333,1.4,3.2,.453,.466,1.6,2.0,.764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6
12,Delon Wright,2017-18,25,TOR,PG,66,4,20.6,2.9,6.2,.468,0.8,.368,2.1,4.1,.522,.533,1.4,1.7,.827,0.7,2.2,2.8,2.9,1.0,0.5,1.2,1.1,8.0
13,Norman Powell,2015-16,22,TOR,SG,49,24,14.8,2.0,4.7,.424,0.7,.404,1.2,2.9,.436,.502,0.9,1.1,.811,0.3,1.9,2.3,1.0,0.6,0.2,0.7,1.2,5.6
14,Norman Powell,2016-17,23,TOR,SG,76,18,18.0,3.0,6.7,.449,0.7,.324,2.3,4.4,.514,.504,1.7,2.1,.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4
15,Norman Powell,2017-18,24,TOR,SG,67,17,15.2,2.1,5.3,.406,0.7,.289,1.4,2.7,.516,.476,0.5,0.6,.821,0.2,1.5,1.7,1.2,0.5,0.2,0.9,1.6,5.5
16,Malachi Richardson,2016-17,21,SAC,SG,22,0,9.0,1.3,3.1,.412,0.4,.286,0.9,1.8,.500,.471,0.7,0.9,.789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,3.6
17,Malachi Richardson,2017-18,22,TOT,SG,26,4,12.5,1.2,3.5,.333,0.5,.300,0.7,1.9,.360,.400,0.7,0.8,.773,0.2,1.1,1.3,0.5,0.4,0.0,0.4,1.0,3.4
18,DeMar DeRozan,2009-10,20,TOR,SG,77,65,21.6,3.3,6.6,.498,0.1,.250,3.3,6.4,.506,.502,1.9,2.5,.763,0.9,2.0,2.9,0.7,0.6,0.2,0.8,2.3,8.6
19,DeMar DeRozan,2010-11,21,TOR,SG,82,82,34.8,6.6,14.1,.467,0.1,.096,6.5,13.4,.485,.469,4.0,4.9,.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6,17.2
20,DeMar DeRozan,2011-12,22,TOR,SG,63,63,35.0,6.0,14.3,.422,0.4,.261,5.7,12.9,.440,.435,4.3,5.3,.810,0.6,2.7,3.3,2.0,0.8,0.3,2.0,2.6,16.7
21,DeMar DeRozan,2012-13,23,TOR,SG,82,82,36.7,6.7,15.0,.445,0.4,.283,6.3,13.5,.463,.459,4.3,5.2,.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1
22,DeMar DeRozan,2013-14,24,TOR,SG,79,79,38.2,7.6,17.8,.429,0.8,.305,6.8,15.2,.451,.452,6.6,8.0,.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7
23,DeMar DeRozan,2014-15,25,TOR,SG,60,60,35.0,6.8,16.5,.413,0.4,.284,6.4,15.0,.426,.426,6.0,7.2,.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0,20.1
24,DeMar DeRozan,2015-16,26,TOR,SG,78,78,35.9,7.9,17.7,.446,0.6,.338,7.3,15.9,.458,.463,7.1,8.4,.850,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5
25,DeMar DeRozan,2016-17,27,TOR,SG,74,74,35.4,9.7,20.9,.467,0.4,.266,9.3,19.2,.484,.477,7.4,8.7,.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3
26,DeMar DeRozan,2017-18,28,TOR,SG,78,78,33.9,8.1,17.7,.457,1.1,.313,7.0,14.2,.494,.489,5.8,7.0,.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.1
27,Jakob Poeltl,2016-17,21,TOR,C,54,4,11.6,1.2,2.1,.583,0.0,,1.2,2.1,.583,.583,0.6,1.1,.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1
28,Jakob Poeltl,2017-18,22,TOR,C,79,0,18.3,3.0,4.6,.648,0.0,.500,2.9,4.5,.649,.650,0.7,1.2,.598,2.0,2.7,4.7,0.7,0.4,1.2,1.0,2.6,6.7
29,Pascal Siakam,2016-17,22,TOR,PF,55,38,15.6,1.9,3.7,.502,0.0,.143,1.9,3.6,.515,.505,0.4,0.6,.688,1.2,2.2,3.4,0.3,0.5,0.8,0.6,2.0,4.2
30,Pascal Siakam,2017-18,23,TOR,PF,78,4,20.5,3.1,6.2,.509,0.3,.211,2.8,4.5,.618,.537,0.7,1.1,.635,1.0,3.5,4.4,1.9,0.8,0.5,0.8,2.0,7.3
31,Fred VanVleet,2016-17,22,TOR,PG,37,0,7.9,1.1,3.0,.351,0.3,.379,0.8,2.2,.341,.401,0.5,0.6,.818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9
32,Fred VanVleet,2017-18,23,TOR,PG,74,0,20.2,3.1,7.3,.428,1.4,.415,1.7,3.8,.439,.527,1.1,1.3,.837,0.3,2.1,2.5,3.2,0.9,0.2,0.9,1.7,8.8
33,OG Anunoby,2017-18,20,TOR,SF,71,59,19.8,2.1,4.6,.462,0.9,.355,1.2,2.0,.597,.561,0.5,0.8,.627,0.6,1.8,2.4,0.8,0.7,0.2,0.6,1.7,5.7
34,Alfonzo McKinnie,2017-18,25,TOR,SF,13,0,3.8,0.5,1.0,.538,0.2,.375,0.3,0.4,.800,.654,0.2,0.2,.667,0.0,0.5,0.5,0.1,0.1,0.1,0.2,0.6,1.5
35,C.J. Miles,2005-06,18,UTA,PG,23,0,8.8,1.2,3.3,.368,0.2,.250,1.0,2.4,.411,.401,0.8,1.0,.750,0.8,0.9,1.7,0.7,0.3,0.1,0.4,0.9,3.4
36,C.J. Miles,2006-07,19,UTA,SG,37,13,10.1,1.1,3.1,.345,0.2,.219,0.9,2.3,.393,.375,0.4,0.6,.609,0.3,0.6,0.9,0.7,0.3,0.1,0.8,1.6,2.7
