name,height(cm),weight(kg),position
Lucas Nogueira,213,109,C
Jonas Valanciunas,213,120,C
Delon Wright,196,83,PG
Norman Powell,193,97,SG
Malachi Richardson,198,92,SG
DeMar DeRozan,201,100,SG
Jakob Poeltl,213,112,C
Pascal Siakam,206,104,PF
Fred VanVleet,183,88,PG
OG Anunoby,203,105,SF
Alfonzo McKinnie,203,97,SF
C.J. Miles,198,102,SG
Kyle Lowry,183,92,PG
Serge Ibaka,208,106,PF
Lorenzo Brown,196,85,PG
Malcolm Miller,201,95,SF
Kyrie Irving,190,87,PG
Marcus Morris,206,106,SF
Marcus Smart,193,99,SG
Terry Rozier,188,86,PG
Al Horford,208,111,C
Jaylen Brown,201,102,SF
Jayson Tatum,203,92,SF
Gordon Hayward,203,102,SF
Abdel Nader,198,104,SF
Semi Ojeleye,201,109,PF
Aron Baynes,208,117,C
Guerschon Yabusele,201,117,PF
Daniel Theis,206,97,C
Shane Larkin,180,79,PG
Jabari Bird,198,89,SG
Kadeem Allen,190,87,PG
Greg Monroe,211,120,PF
Jonathan Gibson,188,83,PG
Joel Embiid,213,113,C
Robert Covington,206,97,SF
Justin Anderson,198,103,SF
Richaun Holmes,208,111,PF
Ben Simmons,208,104,PG
Timothe Luwawu-Cabarrot,198,92,SF
Dario Saric,208,101,PF
Jerryd Bayless,190,90,SG
T.J. McConnell,188,90,PG
Furkan Korkmaz,201,83,SG
Amir Johnson,206,108,C
J.J. Redick,193,86,PG
Markelle Fultz,193,88,SG
Demetrius Jackson,185,91,PG
Marco Belinelli,196,95,SF
Ersan Ilyasova,208,106,PF
Rodney Hood,203,93,SG
Larry Nance Jr.,206,104,C
Kevin Love,208,113,C
Tristan Thompson,206,107,PF
Jordan Clarkson,196,87,PG
LeBron James,203,113,SF
J.R. Smith,198,102,SF
Ante Zizic,211,113,C
Jose Calderon,190,90,SG
George Hill,190,85,PG
Jeff Green,206,106,PF
Kyle Korver,201,96,SF
Cedi Osman,203,95,SF
London Perrantes,188,90,PG
John Holland,196,92,SF
Okaro White,203,92,PF
Kendrick Perkins,208,122,C
Victor Oladipo,193,95,PG
Myles Turner,211,110,C
Thaddeus Young,203,100,PF
Cory Joseph,190,87,SG
Glenn Robinson III,198,100,SG
Joe Young,188,81,PG
Al Jefferson,208,131,C
Domantas Sabonis,211,108,C
Lance Stephenson,196,104,SF
T.J. Leaf,208,100,PF
Bojan Bogdanovic,203,97,SF
Ike Anigbogu,208,114,C
Darren Collison,183,79,PG
Alex Poythress,201,107,PF
Edmond Sumner,198,79,PG
Ben Moore,201,92,PF
Trevor Booker,203,103,PF
Justise Winslow,201,102,PF
Goran Dragic,190,86,PG
Josh Richardson,198,90,SG
Tyler Johnson,193,84,SG
Hassan Whiteside,213,120,C
Wayne Ellington,193,90,SG
Rodney McGruder,193,92,SG
Bam Adebayo,208,110,C
Udonis Haslem,203,106,C
James Johnson,206,113,PF
Dion Waiters,193,102,SG
Kelly Olynyk,213,107,C
Luke Babbitt,206,102,PF
Jordan Mickey,203,106,PF
Dwyane Wade,193,99,PG
Derrick Walton,185,85,PG
Derrick Jones,201,86,SF
Eric Bledsoe,185,92,PG
John Henson,211,103,C
Giannis Antetokounmpo,211,100,PF
Jabari Parker,203,113,PF
Khris Middleton,203,106,SG
Matthew Dellavedova,193,89,PG
Thon Maker,216,97,C
Malcolm Brogdon,196,97,SG
D.J. Wilson,208,106,PF
Sterling Brown,196,102,SG
Tony Snell,201,90,SF
Tyler Zeller,213,114,C
Jason Terry,188,83,PG
Xavier Munford,188,81,SG
Marshall Plumlee,213,113,C
Shabazz Muhammad,198,101,SG
Brandon Jennings,185,77,PG
Marcin Gortat,211,108,C
Markieff Morris,208,111,PF
John Wall,193,88,PG
Kelly Oubre Jr.,201,92,SF
Chris McCullough,211,90,PF
Ian Mahinmi,211,113,C
Jason Smith,213,111,C
Tomas Satoransky,201,95,SG
Tim Frazier,185,77,PG
Bradley Beal,196,93,SG
Otto Porter,203,89,SF
Mike Scott,203,107,PF
Jodie Meeks,193,95,SG
Devin Robinson,203,86,SF
Ramon Sessions,190,86,SG
Ty Lawson,180,88,PG
Stanley Johnson,201,111,SF
Reggie Jackson,190,94,PG
Jon Leuer,208,103,C
Ish Smith,183,79,PG
Andre Drummond,211,126,C
James Ennis,201,95,SF
Henry Ellenson,211,111,PF
Luke Kennard,198,93,SG
Langston Galloway,188,90,SG
Eric Moreland,208,107,PF
Reggie Bullock,201,92,SF
Anthony Tolliver,203,108,SF
Blake Griffin,208,113,PF
Dwight Buycks,190,86,PG
Jameer Nelson,183,86,PG
Reggie Hearn,196,95,SG
Kay Felder,175,79,PG
Michael Kidd-Gilchrist,201,105,SF
Kemba Walker,185,78,PG
Cody Zeller,213,108,C
Jeremy Lamb,196,83,SG
Frank Kaminsky,213,109,PF
Nicolas Batum,203,90,SG
Marvin Williams,206,107,SF
Dwight Howard,211,120,C
Willy Hernangomez,211,108,C
Treveon Graham,198,99,SG
Malik Monk,190,90,SG
Michael Carter-Williams,198,86,PG
Dwayne Bacon,198,100,SG
Julyan Stone,198,90,SG
Marcus Paige,185,79,PG
Mangok Mathiang,208,104,C
Kristaps Porzingis,221,108,PF
Emmanuel Mudiay,196,90,PG
Kyle O'Quinn,208,113,PF
Enes Kanter,211,111,C
Joakim Noah,211,104,C
Courtney Lee,196,90,SG
Lance Thomas,203,106,PF
Frank Ntilikina,196,86,PG
Tim Hardaway,198,92,SG
Ron Baker,193,99,SG
Damyean Dotson,198,92,SG
Michael Beasley,206,106,PF
Jarrett Jack,190,90,SG
