name,height(cm),weight(kg),position,games,pts,trb,ast,fg_pct,fg3_pct,ft_pct,efg,per,ws
James Harden,196.0,99.0,SG,72.0,30.4,5.4,8.8,44.9,36.7,85.8,54.1,29.8,15.4
Trevor Ariza,203.0,97.0,SF,67.0,11.7,4.4,1.6,41.2,36.8,85.4,54.2,11.8,5.3
Chris Paul,183.0,79.0,PG,58.0,18.6,5.4,7.9,46.0,38.0,91.9,55.0,24.4,10.2
Clint Capela,208.0,108.0,C,74.0,13.9,10.8,0.9,65.2,0.0,56.0,65.2,24.5,10.2
Ryan Anderson,208.0,108.0,PF,66.0,9.3,5.0,0.9,43.1,38.6,77.4,56.8,12.6,4.8
Eric Gordon,193.0,97.0,PG,69.0,18.0,2.5,2.2,42.8,35.9,80.9,54.0,15.2,4.7
Chinanu Onuaku,208.0,111.0,C,1.0,4.0,4.0,1.0,40.0,,,40.0,-3.2,-0.1
Nene,211.0,113.0,PF,52.0,6.5,3.4,0.9,56.9,0.0,63.6,56.9,16.4,2.6
P.J. Tucker,198.0,111.0,PF,82.0,6.1,5.6,0.9,39.0,37.1,71.7,52.0,8.3,3.9
Tarik Black,206.0,113.0,C,51.0,3.5,3.2,0.3,59.1,9.1,46.0,59.4,14.3,1.5
Luc Mbah a Moute,203.0,104.0,PF,61.0,7.5,3.0,0.9,48.1,36.4,68.4,57.2,10.2,2.8
Zhou Qi,216.0,95.0,C,18.0,1.2,1.2,0.1,18.8,10.5,66.7,21.9,1.9,-0.3
Gerald Green,201.0,92.0,SG,41.0,12.1,3.2,0.6,40.7,36.9,85.0,54.0,14.1,2.1
R.J. Hunter,196.0,83.0,SG,5.0,3.8,1.0,0.6,35.0,21.4,100.0,42.5,8.5,0.0
Markel Brown,190.0,86.0,SG,4.0,1.3,1.3,0.5,28.6,20.0,,35.7,-1.2,0.0
Joe Johnson,201.0,108.0,SG,55.0,6.8,3.1,1.5,40.6,27.6,88.9,46.1,8.1,1.0
Aaron Jackson,193.0,83.0,PG,1.0,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
Stephen Curry,190.0,86.0,PG,51.0,26.4,5.1,6.1,49.5,42.3,92.1,61.8,28.2,9.1
Klay Thompson,201.0,97.0,SG,73.0,20.0,3.8,2.5,48.8,44.0,83.7,58.5,16.1,4.9
Kevon Looney,206.0,99.0,PF,66.0,4.0,3.3,0.6,58.0,20.0,54.5,58.3,14.8,2.8
Draymond Green,201.0,104.0,SF,70.0,11.0,7.6,7.3,45.4,30.1,77.5,51.6,16.1,6.1
Patrick McCaw,201.0,83.0,SG,57.0,4.0,1.4,1.4,40.9,23.8,76.5,45.1,7.4,0.6
Damian Jones,213.0,111.0,C,15.0,1.7,0.9,0.1,50.0,,60.0,50.0,6.8,0.1
Jordan Bell,206.0,101.0,C,57.0,4.6,3.6,1.8,62.7,0.0,68.2,62.7,18.0,2.9
Kevin Durant,206.0,108.0,PF,68.0,26.4,6.8,5.4,51.6,41.9,88.9,58.6,26.0,10.4
Andre Iguodala,198.0,97.0,SG,64.0,6.0,3.8,3.3,46.3,28.2,63.2,51.4,11.2,3.2
Shaun Livingston,201.0,87.0,SG,71.0,5.5,1.8,2.0,50.1,0.0,82.0,50.1,11.6,1.8
Nick Young,201.0,95.0,SG,80.0,7.3,1.6,0.5,41.2,37.7,86.2,53.8,10.0,1.7
Zaza Pachulia,211.0,122.0,C,69.0,5.4,4.7,1.6,56.4,0.0,80.6,56.4,17.0,3.3
