id,player_name,season,age,team,pos,games,games_started,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Klay Thompson,2011-12,21,GSW,SG,66,29,24.4,4.8,10.9,.443,1.7,.414,3.1,6.8,.460,.520,1.2,1.4,.868,0.4,2.1,2.4,2.0,0.7,0.3,1.6,2.3,12.5
1,Klay Thompson,2012-13,22,GSW,SG,82,82,35.8,6.2,14.7,.422,2.6,.401,3.6,8.3,.437,.509,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6
2,Klay Thompson,2013-14,23,GSW,SG,81,81,35.4,6.9,15.5,.444,2.8,.417,4.1,8.9,.464,.533,1.8,2.3,.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4
3,Klay Thompson,2014-15,24,GSW,SG,77,77,31.9,7.8,16.9,.463,3.1,.439,4.7,9.8,.481,.555,2.9,3.3,.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7
4,Klay Thompson,2015-16,25,GSW,SG,80,80,33.3,8.1,17.3,.470,3.5,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
5,Klay Thompson,2016-17,26,GSW,SG,78,78,34.0,8.3,17.6,.468,3.4,.414,4.8,9.3,.516,.565,2.4,2.8,.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3
6,Klay Thompson,2017-18,27,GSW,SG,70,70,34.3,7.8,15.9,.489,3.1,.439,4.7,8.9,.529,.587,1.1,1.4,.832,0.4,3.4,3.8,2.6,0.8,0.5,1.8,1.6,19.8
7,Kevon Looney,2015-16,19,GSW,PF,5,0,4.2,0.8,1.4,.571,0.2,.500,0.6,1.0,.600,.643,0.0,0.0,,0.8,1.2,2.0,0.0,0.0,0.0,0.2,0.4,1.8
8,Kevon Looney,2016-17,20,GSW,C,53,4,8.4,1.1,2.0,.523,0.0,.222,1.0,1.8,.551,.533,0.4,0.6,.618,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,2.5
9,Kevon Looney,2017-18,21,GSW,C,63,3,13.4,1.6,2.7,.570,0.0,.250,1.5,2.7,.577,.573,0.7,1.2,.553,1.2,1.9,3.1,0.6,0.5,0.8,0.5,1.5,3.8
10,Draymond Green,2012-13,22,GSW,SF,79,1,13.4,1.1,3.3,.327,0.2,.209,0.9,2.4,.368,.354,0.6,0.7,.818,0.7,2.6,3.3,0.7,0.5,0.3,0.6,2.0,2.9
11,Draymond Green,2013-14,23,GSW,SF,82,12,21.9,2.3,5.6,.407,0.7,.333,1.6,3.6,.449,.467,1.0,1.5,.667,1.0,3.9,5.0,1.9,1.2,0.9,1.1,2.8,6.2
12,Draymond Green,2014-15,24,GSW,PF,79,79,31.5,4.3,9.7,.443,1.4,.337,2.9,5.5,.523,.516,1.7,2.5,.660,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7
13,Draymond Green,2015-16,25,GSW,PF,81,81,34.7,5.0,10.1,.490,1.2,.388,3.7,6.9,.537,.551,2.8,4.1,.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0
14,Draymond Green,2016-17,26,GSW,PF,76,76,32.5,3.6,8.6,.418,1.1,.308,2.5,5.1,.494,.481,2.0,2.8,.709,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2
15,Draymond Green,2017-18,27,GSW,PF,67,67,32.8,4.0,8.8,.456,1.1,.306,2.9,5.2,.560,.519,1.9,2.5,.778,1.1,6.6,7.7,7.3,1.4,1.3,2.8,2.7,11.1
16,Patrick McCaw,2016-17,21,GSW,SG,71,20,15.1,1.5,3.5,.433,0.6,.333,0.9,1.7,.533,.516,0.4,0.5,.784,0.3,1.1,1.4,1.1,0.5,0.2,0.5,0.9,4.0
17,Patrick McCaw,2017-18,22,GSW,SG,57,10,16.9,1.6,3.9,.409,0.3,.238,1.3,2.5,.503,.451,0.5,0.6,.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4.0
18,Damian Jones,2016-17,21,GSW,C,10,0,8.5,0.8,1.6,.500,0.0,,0.8,1.6,.500,.500,0.3,1.0,.300,0.9,1.4,2.3,0.0,0.1,0.4,0.6,1.5,1.9
