date,game,value,distance,made,score
"Oct 27, 2015", GSW vs NOP,2,3,Made,5-2
"Oct 27, 2015", GSW vs NOP,3,26,Missed,5-2
"Oct 27, 2015", GSW vs NOP,2,2,Missed,5-7
"Oct 27, 2015", GSW vs NOP,3,27,Made,10-7
"Oct 27, 2015", GSW vs NOP,2,0,Made,14-11
"Oct 27, 2015", GSW vs NOP,3,25,Made,17-13
"Oct 27, 2015", GSW vs NOP,2,22,Made,21-15
"Oct 27, 2015", GSW vs NOP,3,28,Made,25-18
"Oct 27, 2015", GSW vs NOP,3,25,Made,32-20
"Oct 27, 2015", GSW vs NOP,3,27,Missed,32-23
"Oct 27, 2015", GSW vs NOP,2,2,Made,34-23
"Oct 27, 2015", GSW vs NOP,2,2,Made,39-32
"Oct 27, 2015", GSW vs NOP,3,39,Missed,39-35
"Oct 27, 2015", GSW vs NOP,3,24,Missed,45-44
"Oct 27, 2015", GSW vs NOP,2,12,Made,50-44
"Oct 27, 2015", GSW vs NOP,3,24,Missed,55-47
"Oct 27, 2015", GSW vs NOP,3,25,Missed,57-47
"Oct 27, 2015", GSW vs NOP,2,1,Made,59-49
"Oct 27, 2015", GSW vs NOP,2,1,Made,67-49
"Oct 27, 2015", GSW vs NOP,2,1,Made,73-58
"Oct 27, 2015", GSW vs NOP,2,7,Missed,73-59
"Oct 27, 2015", GSW vs NOP,3,25,Missed,79-64
"Oct 27, 2015", GSW vs NOP,2,3,Missed,79-64
"Oct 27, 2015", GSW vs NOP,3,25,Made,85-68
"Oct 27, 2015", GSW vs NOP,2,12,Missed,100-83
"Oct 27, 2015", GSW vs NOP,2,0,Missed,104-89
"Oct 30, 2015", GSW at HOU,2,18,Missed,1-2
"Oct 30, 2015", GSW at HOU,3,24,Made,6-8
"Oct 30, 2015", GSW at HOU,3,24,Made,9-8
"Oct 30, 2015", GSW at HOU,3,29,Made,14-8
"Oct 30, 2015", GSW at HOU,3,24,Missed,14-14
"Oct 30, 2015", GSW at HOU,3,24,Missed,21-20
"Oct 30, 2015", GSW at HOU,3,23,Missed,40-35
"Oct 30, 2015", GSW at HOU,3,26,Made,51-37
"Oct 30, 2015", GSW at HOU,2,1,Made,53-37
"Oct 30, 2015", GSW at HOU,3,25,Missed,53-40
"Oct 30, 2015", GSW at HOU,2,8,Made,64-51
"Oct 30, 2015", GSW at HOU,2,11,Made,70-57
"Oct 30, 2015", GSW at HOU,2,1,Made,93-74
"Oct 30, 2015", GSW at HOU,2,2,Made,101-76
"Oct 30, 2015", GSW at HOU,3,24,Missed,101-76
"Oct 31, 2015", GSW at NOP,3,31,Made,12-10
"Oct 31, 2015", GSW at NOP,3,27,Missed,15-15
"Oct 31, 2015", GSW at NOP,2,18,Made,17-17
"Oct 31, 2015", GSW at NOP,3,29,Made,25-23
"Oct 31, 2015", GSW at NOP,3,26,Missed,28-23
"Oct 31, 2015", GSW at NOP,2,10,Missed,30-25
"Oct 31, 2015", GSW at NOP,2,9,Made,43-41
"Oct 31, 2015", GSW at NOP,3,23,Missed,57-52
"Oct 31, 2015", GSW at NOP,3,26,Missed,67-67
"Oct 31, 2015", GSW at NOP,3,28,Made,70-70
"Oct 31, 2015", GSW at NOP,3,25,Made,75-70
"Oct 31, 2015", GSW at NOP,3,26,Made,78-72
"Oct 31, 2015", GSW at NOP,2,14,Made,83-74
"Oct 31, 2015", GSW at NOP,2,21,Missed,83-74
"Oct 31, 2015", GSW at NOP,2,1,Made,88-78
"Oct 31, 2015", GSW at NOP,3,25,Made,91-83
"Oct 31, 2015", GSW at NOP,2,2,Made,95-87
"Oct 31, 2015", GSW at NOP,2,1,Made,99-87
"Oct 31, 2015", GSW at NOP,2,1,Made,101-89
"Oct 31, 2015", GSW at NOP,3,26,Made,104-89
"Oct 31, 2015", GSW at NOP,3,26,Missed,105-91
"Oct 31, 2015", GSW at NOP,2,16,Made,115-102
"Oct 31, 2015", GSW at NOP,2,14,Missed,115-102
"Oct 31, 2015", GSW at NOP,2,12,Made,123-110
"Oct 31, 2015", GSW at NOP,3,29,Made,127-115
"Oct 31, 2015", GSW at NOP,3,24,Missed,131-115
"Oct 31, 2015", GSW at NOP,2,9,Missed,131-118
"Nov 2, 2015", GSW vs MEM,3,28,Made,3-0
"Nov 2, 2015", GSW vs MEM,2,20,Made,8-4
"Nov 2, 2015", GSW vs MEM,3,24,Missed,9-8
"Nov 2, 2015", GSW vs MEM,3,27,Missed,13-13
"Nov 2, 2015", GSW vs MEM,3,24,Missed,19-22
"Nov 2, 2015", GSW vs MEM,2,3,Missed,21-22
"Nov 2, 2015", GSW vs MEM,3,26,Missed,42-29
"Nov 2, 2015", GSW vs MEM,2,6,Made,44-31
"Nov 2, 2015", GSW vs MEM,2,16,Made,57-36
"Nov 2, 2015", GSW vs MEM,3,25,Made,62-38
"Nov 2, 2015", GSW vs MEM,2,1,Missed,67-38
"Nov 2, 2015", GSW vs MEM,2,2,Made,72-40
"Nov 2, 2015", GSW vs MEM,2,2,Made,75-40
"Nov 2, 2015", GSW vs MEM,3,25,Made,78-42
"Nov 2, 2015", GSW vs MEM,3,22,Made,81-42
"Nov 2, 2015", GSW vs MEM,2,9,Made,86-44
"Nov 4, 2015", GSW vs LAC,3,25,Made,3-2
"Nov 4, 2015", GSW vs LAC,3,26,Made,40-27
"Nov 4, 2015", GSW vs LAC,3,29,Made,46-29
"Nov 4, 2015", GSW vs LAC,2,18,Missed,46-31
"Nov 4, 2015", GSW vs LAC,3,23,Missed,47-34
"Nov 4, 2015", GSW vs LAC,3,25,Made,57-50
"Nov 4, 2015", GSW vs LAC,2,16,Missed,65-59
"Nov 4, 2015", GSW vs LAC,3,30,Missed,73-66
"Nov 4, 2015", GSW vs LAC,2,0,Missed,73-66
"Nov 4, 2015", GSW vs LAC,3,25,Missed,77-73
"Nov 4, 2015", GSW vs LAC,2,8,Missed,77-73
"Nov 4, 2015", GSW vs LAC,3,26,Missed,77-75
"Nov 4, 2015", GSW vs LAC,3,24,Made,100-99
"Nov 4, 2015", GSW vs LAC,3,26,Made,103-99
"Nov 4, 2015", GSW vs LAC,2,16,Missed,103-101
"Nov 4, 2015", GSW vs LAC,2,22,Made,105-103
"Nov 4, 2015", GSW vs LAC,3,26,Made,108-106
"Nov 6, 2015", GSW vs DEN,3,25,Missed,14-4
"Nov 6, 2015", GSW vs DEN,2,1,Missed,18-10
"Nov 6, 2015", GSW vs DEN,3,25,Made,24-12
"Nov 6, 2015", GSW vs DEN,3,25,Missed,24-15
"Nov 6, 2015", GSW vs DEN,3,26,Made,29-17
"Nov 6, 2015", GSW vs DEN,3,26,Made,36-20
"Nov 6, 2015", GSW vs DEN,2,15,Missed,36-22
"Nov 6, 2015", GSW vs DEN,3,23,Missed,37-22
"Nov 6, 2015", GSW vs DEN,3,26,Made,40-23
"Nov 6, 2015", GSW vs DEN,2,2,Made,63-33
"Nov 6, 2015", GSW vs DEN,3,25,Made,68-39
"Nov 6, 2015", GSW vs DEN,3,25,Made,74-44
"Nov 6, 2015", GSW vs DEN,3,27,Missed,74-51
"Nov 6, 2015", GSW vs DEN,3,23,Missed,84-63
"Nov 6, 2015", GSW vs DEN,3,22,Made,87-63
"Nov 6, 2015", GSW vs DEN,3,23,Missed,87-65
"Nov 6, 2015", GSW vs DEN,2,11,Made,89-71
"Nov 6, 2015", GSW vs DEN,3,25,Made,92-71
"Nov 6, 2015", GSW vs DEN,2,1,Made,94-73
"Nov 6, 2015", GSW vs DEN,2,2,Made,98-73
"Nov 6, 2015", GSW vs DEN,3,25,Missed,112-99
"Nov 7, 2015", GSW at SAC,3,27,Missed,2-5
"Nov 7, 2015", GSW at SAC,2,19,Missed,6-7
"Nov 7, 2015", GSW at SAC,2,2,Made,11-11
"Nov 7, 2015", GSW at SAC,3,26,Missed,14-12
"Nov 7, 2015", GSW at SAC,3,24,Missed,18-12
"Nov 7, 2015", GSW at SAC,3,25,Missed,40-32
"Nov 7, 2015", GSW at SAC,2,22,Made,50-44
"Nov 7, 2015", GSW at SAC,2,7,Made,53-50
"Nov 7, 2015", GSW at SAC,3,23,Missed,53-52
"Nov 7, 2015", GSW at SAC,2,2,Made,58-55
"Nov 7, 2015", GSW at SAC,3,23,Missed,58-55
"Nov 7, 2015", GSW at SAC,3,24,Missed,58-55
"Nov 7, 2015", GSW at SAC,2,2,Made,64-55
"Nov 7, 2015", GSW at SAC,2,0,Made,67-55
"Nov 7, 2015", GSW at SAC,3,24,Missed,72-68
"Nov 7, 2015", GSW at SAC,2,15,Missed,78-79
"Nov 7, 2015", GSW at SAC,3,27,Made,81-79
"Nov 7, 2015", GSW at SAC,3,23,Made,97-88
"Nov 9, 2015", GSW vs DET,2,9,Made,2-2
"Nov 9, 2015", GSW vs DET,2,4,Missed,16-12
"Nov 9, 2015", GSW vs DET,2,15,Missed,18-12
"Nov 9, 2015", GSW vs DET,2,12,Missed,20-15
"Nov 9, 2015", GSW vs DET,3,23,Missed,20-15
"Nov 9, 2015", GSW vs DET,3,25,Made,34-29
"Nov 9, 2015", GSW vs DET,2,16,Missed,37-31
"Nov 9, 2015", GSW vs DET,2,2,Made,41-35
"Nov 9, 2015", GSW vs DET,3,24,Missed,41-35
"Nov 9, 2015", GSW vs DET,2,2,Made,55-46
"Nov 9, 2015", GSW vs DET,2,3,Missed,60-49
"Nov 9, 2015", GSW vs DET,3,22,Missed,60-49
"Nov 9, 2015", GSW vs DET,3,26,Made,63-51
"Nov 9, 2015", GSW vs DET,3,24,Missed,70-58
"Nov 9, 2015", GSW vs DET,2,2,Missed,74-68
"Nov 9, 2015", GSW vs DET,2,18,Missed,76-70
"Nov 9, 2015", GSW vs DET,2,1,Made,80-74
"Nov 9, 2015", GSW vs DET,3,25,Made,101-84
"Nov 11, 2015", GSW at MEM,2,2,Made,6-2
"Nov 11, 2015", GSW at MEM,3,25,Missed,6-4
"Nov 11, 2015", GSW at MEM,3,23,Made,9-7
"Nov 11, 2015", GSW at MEM,3,26,Missed,18-11
"Nov 11, 2015", GSW at MEM,2,19,Missed,18-13
"Nov 11, 2015", GSW at MEM,3,25,Missed,39-30
"Nov 11, 2015", GSW at MEM,2,1,Made,43-34
"Nov 11, 2015", GSW at MEM,2,2,Missed,43-37
"Nov 11, 2015", GSW at MEM,3,26,Missed,47-41
"Nov 11, 2015", GSW at MEM,2,10,Missed,47-41
"Nov 11, 2015", GSW at MEM,2,1,Made,51-41
"Nov 11, 2015", GSW at MEM,3,25,Missed,54-47
"Nov 11, 2015", GSW at MEM,2,21,Missed,54-49
"Nov 11, 2015", GSW at MEM,2,21,Missed,55-53
"Nov 11, 2015", GSW at MEM,2,1,Made,62-58
"Nov 11, 2015", GSW at MEM,3,28,Made,65-58
"Nov 11, 2015", GSW at MEM,3,28,Missed,68-59
"Nov 11, 2015", GSW at MEM,2,1,Made,70-63
"Nov 11, 2015", GSW at MEM,3,39,Made,74-63
"Nov 11, 2015", GSW at MEM,3,22,Missed,86-73
"Nov 11, 2015", GSW at MEM,2,0,Made,95-75
"Nov 12, 2015", GSW at MIN,3,27,Made,7-0
"Nov 12, 2015", GSW at MIN,3,24,Made,13-2
"Nov 12, 2015", GSW at MIN,2,2,Missed,15-6
"Nov 12, 2015", GSW at MIN,3,24,Made,22-10
"Nov 12, 2015", GSW at MIN,2,17,Made,30-17
"Nov 12, 2015", GSW at MIN,3,23,Missed,33-19
"Nov 12, 2015", GSW at MIN,2,0,Made,35-21
"Nov 12, 2015", GSW at MIN,2,6,Missed,37-25
"Nov 12, 2015", GSW at MIN,3,24,Made,40-27
"Nov 12, 2015", GSW at MIN,3,27,Missed,62-50
"Nov 12, 2015", GSW at MIN,2,11,Made,66-52
"Nov 12, 2015", GSW at MIN,2,2,Made,75-63
"Nov 12, 2015", GSW at MIN,2,21,Missed,77-67
"Nov 12, 2015", GSW at MIN,2,0,Missed,82-68
"Nov 12, 2015", GSW at MIN,2,16,Made,84-70
"Nov 12, 2015", GSW at MIN,3,25,Made,94-76
"Nov 12, 2015", GSW at MIN,3,24,Made,97-76
"Nov 12, 2015", GSW at MIN,3,25,Missed,97-78
"Nov 12, 2015", GSW at MIN,2,9,Missed,97-85
"Nov 12, 2015", GSW at MIN,3,26,Made,112-103
"Nov 12, 2015", GSW at MIN,2,17,Made,114-105
"Nov 12, 2015", GSW at MIN,3,26,Missed,114-108
"Nov 12, 2015", GSW at MIN,3,27,Missed,121-110
"Nov 12, 2015", GSW at MIN,2,18,Made,123-113
"Nov 12, 2015", GSW at MIN,3,26,Made,129-116
"Nov 14, 2015", GSW vs BRK,2,6,Made,2-2
